"","sub.id","sub.name","sub.sys","sub.status","pri.id","pri.name","pri.status"
"28",288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)","Gas Transmission","ACTIVE",11169,"Enbridge","Current"
"29",288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)","Gas Transmission","ACTIVE",19235,"Enbridge","Current"
"30",300,"PLAINS PIPELINE, L.P.","Hazardous Liquid","ACTIVE",300,"Plains","Current"
"31",315,"ALLERTON GAS CO","Gas Distribution","ACTIVE",315,"ALLERTON GAS CO","Current"
"32",333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF","Gas Distribution","ACTIVE",333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF","Current"
"33",342,"ALMA NATURAL  GAS SYSTEMS, CITY OF","Gas Distribution","ACTIVE",342,"ALMA NATURAL GAS SYSTEMS, CITY OF","Current"
"34",360,"ALTAMONT GAS DEPT, CITY OF","Gas Distribution","ACTIVE",360,"ALTAMONT GAS DEPT, CITY OF","Current"
"35",383,"AMARILLO NATURAL GAS INC","Gas Distribution","ACTIVE",383,"AMARILLO NATURAL GAS INC","Current"
"36",383,"AMARILLO NATURAL GAS INC","Gas Transmission","ACTIVE",383,"AMARILLO NATURAL GAS INC","Current"
"37",386,"HESS CORP","Gas Transmission","INACTIVE",401,"HESS CORPORATION","Current"
"38",387,"ALTO NATURAL GAS CO, CITY OF","Gas Distribution","ACTIVE",387,"ALTO NATURAL GAS CO, CITY OF","Current"
"39",395,"AMOCO OIL CO","Hazardous Liquid","ACTIVE",31189,"BP","Current"
"40",401,"HESS CORPORATION","Hazardous Liquid","INACTIVE",386,"HESS CORP","Current"
"41",402,"MARKWEST ENERGY EAST TEXAS GAS COMPANY, L.L.C.","Gas Gathering","ACTIVE",402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","Current"
"42",402,"MARKWEST ENERGY EAST TEXAS GAS COMPANY, L.L.C.","Gas Transmission","ACTIVE",402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","Current"
"43",402,"MARKWEST ENERGY EAST TEXAS GAS COMPANY, L.L.C.","Hazardous Liquid","ACTIVE",402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","Current"
"44",405,"ANR PIPELINE CO","Gas Transmission","ACTIVE",405,"TransCanada","Current"
"45",405,"ANR PIPELINE CO","UNGS","ACTIVE",405,"TransCanada","Current"
"46",414,"HAINES GAS COMPANY, INC.","Gas Distribution","INACTIVE",414,"HAINES GAS COMPANY, INC.","Current"
"47",423,"AMERICUS UTILITY COMMISSION","Gas Distribution","ACTIVE",423,"AMERICUS UTILITY COMMISSION","Current"
"48",473,"WESTERN MIDSTREAM PARTNERS, LP","Gas Distribution","ACTIVE",473,"ANADARKO PETROLEUM CORP","Current"
"49",473,"WESTERN MIDSTREAM PARTNERS, LP","Gas Gathering","ACTIVE",473,"ANADARKO PETROLEUM CORP","Current"
"50",473,"WESTERN MIDSTREAM PARTNERS, LP","Gas Transmission","ACTIVE",473,"ANADARKO PETROLEUM CORP","Current"
"51",473,"WESTERN MIDSTREAM PARTNERS, LP","Hazardous Liquid","ACTIVE",473,"ANADARKO PETROLEUM CORP","Current"
"52",495,"ANDERSONVILLE GAS SYSTEM, CITY OF","Gas Distribution","ACTIVE",495,"ANDERSONVILLE GAS SYSTEM, CITY OF","Current"
"53",504,"ANDREASSI GAS COMPANY","Gas Distribution","ACTIVE",504,"ANDREASSI GAS COMPANY","Current"
"54",515,"DAKOTA GASIFICATION COMPANY","Gas Transmission","ACTIVE",515,"DAKOTA GASIFICATION COMPANY","Current"
"55",515,"DAKOTA GASIFICATION COMPANY","Hazardous Liquid","ACTIVE",515,"DAKOTA GASIFICATION COMPANY","Current"
"56",522,"ANNA MUNICIPAL GAS CO","Gas Distribution","ACTIVE",522,"ANNA MUNICIPAL GAS CO","Current"
"57",558,"APPLEBY NATURAL GAS SYSTEM","Gas Distribution","ACTIVE",558,"APPLEBY NATURAL GAS SYSTEM","Current"
"58",570,"FERNDALE PIPELINE SYSTEM","Gas Transmission","ACTIVE",31189,"BP","Current"
"59",576,"ARGONIA MUNICIPAL SYSTEM, CITY OF","Gas Distribution","ACTIVE",576,"ARGONIA MUNICIPAL SYSTEM, CITY OF","Current"
"60",585,"ARGYLE MUNICIPAL GAS SYSTEM","Gas Distribution","ACTIVE",585,"ARGYLE MUNICIPAL GAS SYSTEM","Current"
"61",585,"ARGYLE MUNICIPAL GAS SYSTEM","Gas Transmission","ACTIVE",585,"ARGYLE MUNICIPAL GAS SYSTEM","Current"
"62",602,"ENABLE GAS TRANSMISSION, LLC","Gas Transmission","ACTIVE",31202,"Enable Midstream","Current"
"63",602,"ENABLE GAS TRANSMISSION, LLC","Gas Transmission","ACTIVE",602,"CenterPoint","Superseded"
"64",602,"ENABLE GAS TRANSMISSION, LLC","UNGS","ACTIVE",31202,"Enable Midstream","Current"
"65",603,"CENTERPOINT ENERGY RESOURCES CORP.","Gas Distribution","ACTIVE",603,"CENTERPOINT ENERGY RESOURCES CORP.","Current"
"66",603,"CENTERPOINT ENERGY RESOURCES CORP.","Gas Transmission","ACTIVE",603,"CENTERPOINT ENERGY RESOURCES CORP.","Current"
"67",612,"CITY OF ROCKPORT","Gas Distribution","ACTIVE",612,"CITY OF ROCKPORT","Current"
"68",621,"ARKANSAS OKLAHOMA GAS CORP","Gas Distribution","ACTIVE",621,"ARKANSAS OKLAHOMA GAS CORP","Current"
"69",621,"ARKANSAS OKLAHOMA GAS CORP","Gas Transmission","ACTIVE",621,"ARKANSAS OKLAHOMA GAS CORP","Current"
"70",630,"SOURCEGAS ARKANSAS INC.","Gas Distribution","INACTIVE",10030,"SourceGas","Current"
"71",630,"SOURCEGAS ARKANSAS INC.","Gas Gathering","INACTIVE",10030,"SourceGas","Current"
"72",630,"SOURCEGAS ARKANSAS INC.","Gas Transmission","INACTIVE",10030,"SourceGas","Current"
"73",630,"SOURCEGAS ARKANSAS INC.","LNG Plant/Facility","INACTIVE",10030,"SourceGas","Current"
"74",648,"ARLINGTON GAS SYSTEM, CITY OF","Gas Distribution","ACTIVE",648,"New Commonwealth","Current"
"75",660,"ARLINGTON ENERGY GROUP, LLC","Gas Transmission","ACTIVE",660,"ARLINGTON GAS PIPELINE CO, LP","Current"
"76",666,"ARLINGTON NATURAL GAS CO","Gas Distribution","ACTIVE",666,"ARLINGTON NATURAL GAS CO","Current"
"77",675,"ARNAUDVILLE MUNICIPLE SYSTEM, TOWN OF","Gas Distribution","ACTIVE",675,"ARNAUDVILLE MUNICIPLE SYSTEM, TOWN OF","Current"
"78",702,"ASHBURN GAS DEPT, CITY OF","Gas Distribution","ACTIVE",702,"ASHBURN GAS DEPT, CITY OF","Current"
"79",729,"ASHLAND MUNICIPAL GAS, TOWN OF","Gas Distribution","ACTIVE",729,"ASHLAND MUNICIPAL GAS, TOWN OF","Current"
"80",766,"ATHENS GAS DEPARTMENT","Gas Distribution","ACTIVE",766,"ATHENS GAS DEPARTMENT","Current"
"81",774,"ATHENS UTILITIES BOARD","Gas Distribution","ACTIVE",774,"ATHENS UTILITIES BOARD","Current"
"82",792,"ATLANTA GAS LIGHT CO","Gas Distribution","ACTIVE",792,"Atlanta Gas Light","Current"
"83",792,"ATLANTA GAS LIGHT CO","Gas Transmission","ACTIVE",792,"Atlanta Gas Light","Current"
"84",792,"ATLANTA GAS LIGHT CO","LNG Plant/Facility","ACTIVE",792,"Atlanta Gas Light","Current"
"85",828,"WEST ESCAMBIA UTILITIES, INC.","Gas Distribution","ACTIVE",828,"ATMORE UTILITIES BOARD, CITY OF","Current"
"86",837,"ATTICA GAS DEPT, CITY OF","Gas Distribution","INACTIVE",837,"ATTICA GAS DEPT, CITY OF","Current"
"87",840,"MOJAVE PIPELINE OPERATING COMPANY","Gas Transmission","ACTIVE",18092,"Kinder Morgan","Current"
"88",840,"MOJAVE PIPELINE OPERATING COMPANY","Gas Transmission","ACTIVE",2564,"Kinder Morgan","Current"
"89",842,"AIR LIQUIDE LARGE INDUSTRIES U.S. LP","Gas Distribution","ACTIVE",842,"AIR LIQUIDE LARGE INDUSTRIES U.S. LP","Current"
"90",842,"AIR LIQUIDE LARGE INDUSTRIES U.S. LP","Gas Transmission","ACTIVE",842,"AIR LIQUIDE LARGE INDUSTRIES U.S. LP","Current"
"91",844,"KERN RIVER GAS TRANSMISSION CO","Gas Transmission","ACTIVE",844,"KERN RIVER GAS TRANSMISSION CO","Current"
"92",846,"AUBURN, CITY OF","Gas Distribution","ACTIVE",846,"AUBURN, CITY OF","Current"
"93",855,"AUBURN GAS DEPT, CITY OF","Gas Distribution","ACTIVE",855,"AUBURN GAS DEPT, CITY OF","Current"
"94",857,"MARKWEST PINNACLE, L.L.C.","Gas Gathering","INACTIVE",857,"MARKWEST PINNACLE PNG UTILITY, LLC","Current"
"95",857,"MARKWEST PINNACLE, L.L.C.","Gas Transmission","INACTIVE",857,"MARKWEST PINNACLE PNG UTILITY, LLC","Current"
"96",860,"FAIRBANK, CITY OF","Gas Distribution","ACTIVE",860,"FAIRBANK, CITY OF","Current"
"97",860,"FAIRBANK, CITY OF","Gas Transmission","ACTIVE",860,"FAIRBANK, CITY OF","Current"
"98",861,"NEWFIELD EXPLORATION COMPANY","Gas Transmission","INACTIVE",861,"NEWFIELD EXPLORATION COMPANY","Current"
"99",864,"AUGUSTA, CITY OF","Gas Distribution","ACTIVE",864,"AUGUSTA, CITY OF","Current"
"100",872,"LAFITTE GAS PIPELINE","Gas Transmission","ACTIVE",872,"LAFITTE GAS PIPELINE","Current"
"101",873,"AUGUSTA LIGHT WATER & GAS, CITY OF","Gas Distribution","ACTIVE",873,"AUGUSTA LIGHT WATER & GAS, CITY OF","Current"
"102",878,"JEFFERSON GAS, LLC","Gas Gathering","ACTIVE",878,"JEFFERSON GAS, LLC","Current"
"103",878,"JEFFERSON GAS, LLC","Gas Transmission","ACTIVE",878,"JEFFERSON GAS, LLC","Current"
"104",879,"CHEMOIL TERMINALS LLC","Hazardous Liquid","ACTIVE",879,"CHEMOIL TERMINALS CORP.","Current"
"105",882,"AURORA GAS SYSTEMS, CITY OF","Gas Distribution","INACTIVE",882,"AURORA GAS SYSTEMS, CITY OF","Current"
"106",883,"WESTBROOK PUBLIC UTILITIES","Gas Distribution","ACTIVE",883,"WESTBROOK PUBLIC UTILITIES","Current"
"107",885,"AURORA GAS CO","Gas Distribution","ACTIVE",885,"AURORA GAS CO","Current"
"108",887,"Onalaska Water and Gas Supply","Gas Distribution","ACTIVE",887,"Onalaska Water and Gas Supply","Current"
"109",888,"COMMUNITY UTILITIES CO.","Gas Distribution","ACTIVE",888,"COMMUNITY UTILITIES CO.","Current"
"110",891,"AURORA UTILITIES","Gas Distribution","ACTIVE",891,"AURORA UTILITIES","Current"
"111",893,"STUART GAS CO","Gas Distribution","ACTIVE",893,"STUART GAS CO","Current"
"112",895,"KEYSTONE RURAL GAS DISTRICT #1","Gas Distribution","ACTIVE",895,"KEYSTONE RURAL GAS DISTRICT #1","Current"
"113",899,"5P GAS PIPELINE COMPANY","Gas Transmission","ACTIVE",899,"5P GAS PIPELINE COMPANY","Current"
"114",909,"AUSTELL NATURAL GAS SYSTEM, CITY OF","Gas Distribution","ACTIVE",909,"AUSTELL NATURAL GAS SYSTEM, CITY OF","Current"
"115",909,"AUSTELL NATURAL GAS SYSTEM, CITY OF","LNG Plant/Facility","ACTIVE",909,"AUSTELL NATURAL GAS SYSTEM, CITY OF","Current"
"116",918,"AUSTIN UTILITIES","Gas Distribution","ACTIVE",918,"AUSTIN UTILITIES","Current"
"117",920,"NATGAS INC.","Gas Distribution","ACTIVE",920,"NATGAS INC.","Current"
"118",924,"ST. JAMES GAS DEPT., CITY OF","Gas Distribution","ACTIVE",924,"ST. JAMES GAS DEPT., CITY OF","Current"
"119",926,"OMEGA PIPELINE CO","Gas Distribution","ACTIVE",926,"OMEGA PIPELINE CO","Current"
"120",927,"AUXIER ROAD GAS CO INC","Gas Distribution","INACTIVE",32601,"KENTUCKY FRONTIER","Current"
"121",929,"SEBRING GAS SYSTEM, INC","Gas Distribution","ACTIVE",929,"SEBRING GAS SYSTEM, INC","Current"
"122",929,"SEBRING GAS SYSTEM, INC","Gas Transmission","ACTIVE",929,"SEBRING GAS SYSTEM, INC","Current"
"123",933,"AVANT UTILITIES AUTH","Gas Distribution","ACTIVE",933,"AVANT UTILITIES AUTH","Current"
"124",952,"ENERFIN RESOURCES II-92 LIMITED PARTNERSHIP","Gas Transmission","ACTIVE",30588,"ENERFIN RESOURCES I LIMITED PARTNERSHIP","Current"
"125",952,"ENERFIN RESOURCES II-92 LIMITED PARTNERSHIP","Gas Transmission","ACTIVE",952,"ENERFIN RESOURCES II-92 LIMITED PARTNERSHIP","Current"
"126",967,"PINEDALE NATURAL GAS, INC","Gas Distribution","ACTIVE",967,"PINEDALE NATURAL GAS, INC","Current"
"127",967,"PINEDALE NATURAL GAS, INC","Gas Transmission","ACTIVE",967,"PINEDALE NATURAL GAS, INC","Current"
"128",968,"UNIVERSAL NATURAL GAS, INC.","Gas Distribution","ACTIVE",968,"TX Gas","Current"
"129",969,"BALDWYN MUN GAS SYST","Gas Distribution","ACTIVE",969,"BALDWYN MUN GAS SYST","Current"
"130",972,"CLIFTON GAS DEPT, CITY OF","Gas Distribution","ACTIVE",972,"CLIFTON GAS DEPT, CITY OF","Current"
"131",976,"BURKESVILLE GAS CO, INC.","Gas Distribution","ACTIVE",976,"Burkesville","Current"
"132",977,"LAKIN, CITY OF","Gas Transmission","INACTIVE",977,"LAKIN, CITY OF","Current"
"133",978,"LAWRENCE PAPER CO","Gas Distribution","ACTIVE",978,"LAWRENCE PAPER CO","Current"
"134",978,"LAWRENCE PAPER CO","Gas Transmission","ACTIVE",978,"LAWRENCE PAPER CO","Current"
"135",980,"APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY","Gas Distribution","ACTIVE",980,"APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY","Current"
"136",980,"APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY","Gas Transmission","ACTIVE",980,"APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY","Current"
"137",986,"HARTLEY MUNICIPAL UTILITIES","Gas Distribution","ACTIVE",986,"HARTLEY MUNICIPAL UTILITIES","Current"
"138",990,"WARRIOR GAS CO","Gas Gathering","INACTIVE",990,"WARRIOR GAS CO","Current"
"139",993,"CROSSROADS PIPELINE COMPANY","Gas Transmission","ACTIVE",405,"TransCanada","Current"
"140",993,"CROSSROADS PIPELINE COMPANY","Gas Transmission","ACTIVE",2616,"NiSource","Superseded"
"141",994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP","Gas Gathering","ACTIVE",30826,"Williams Field","Current"
"142",994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP","Gas Transmission","ACTIVE",30826,"Williams Field","Current"
"143",994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP","Hazardous Liquid","ACTIVE",30826,"Williams Field","Current"
"144",997,"MIDWAY SUNSET COGENERATION CO","Gas Transmission","ACTIVE",997,"MIDWAY SUNSET COGENERATION CO","Current"
"145",999,"PACIFIC COAST ENERGY COMPANY, LP","Gas Gathering","ACTIVE",999,"Breitburn","Current"
"146",999,"PACIFIC COAST ENERGY COMPANY, LP","Gas Gathering","ACTIVE",31068,"Breitburn","Superseded"
"147",999,"PACIFIC COAST ENERGY COMPANY, LP","Hazardous Liquid","ACTIVE",999,"Breitburn","Current"
"148",1007,"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC","Gas Gathering","ACTIVE",1007,"Tallgrass","Current"
"149",1007,"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC","Gas Transmission","ACTIVE",1007,"Tallgrass","Current"
"150",1007,"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC","UNGS","ACTIVE",1007,"Tallgrass","Current"
"151",1017,"CARRIZO OIL & GAS, INC.","Gas Gathering","INACTIVE",1017,"CARRIZO OIL & GAS, INC.","Current"
"152",1031,"ONYX PIPELINE CO","Gas Distribution","INACTIVE",1031,"ONYX PIPELINE CO","Current"
"153",1031,"ONYX PIPELINE CO","Gas Transmission","INACTIVE",1031,"ONYX PIPELINE CO","Current"
"154",1042,"J CLEO THOMPSON","Gas Gathering","INACTIVE",1042,"J CLEO THOMPSON","Current"
"155",1042,"J CLEO THOMPSON","Gas Transmission","INACTIVE",1042,"J CLEO THOMPSON","Current"
"156",1047,"HESS CORPORATION","Hazardous Liquid","ACTIVE",1047,"HESS CORPORATION","Current"
"157",1048,"BAINBRIDGE GAS DEPT, CITY OF","Gas Distribution","ACTIVE",1048,"BAINBRIDGE GAS DEPT, CITY OF","Current"
"158",1056,"BAINBRIDGE MUNICIPAL GAS","Gas Distribution","ACTIVE",1056,"BAINBRIDGE MUNICIPAL GAS","Current"
"159",1064,"BAKER UTILITY SYSTEM","Gas Distribution","ACTIVE",1064,"BAKER UTILITY SYSTEM","Current"
"160",1065,"BALCONES STARR PIPELINE","Gas Gathering","INACTIVE",1065,"BALCONES STARR PIPELINE","Current"
"161",1072,"BALDWIN MUNICIPAL SYSTEM, TOWN OF","Gas Distribution","ACTIVE",1072,"BALDWIN MUNICIPAL SYSTEM, TOWN OF","Current"
"162",1088,"BALTIMORE GAS AND ELECTRIC COMPANY","Gas Distribution","ACTIVE",1088,"BALTIMORE GAS & ELECTRIC CO","Current"
"163",1088,"BALTIMORE GAS AND ELECTRIC COMPANY","Gas Transmission","ACTIVE",1088,"BALTIMORE GAS & ELECTRIC CO","Current"
"164",1088,"BALTIMORE GAS AND ELECTRIC COMPANY","LNG Plant/Facility","ACTIVE",1088,"BALTIMORE GAS & ELECTRIC CO","Current"
"165",1096,"BAMBERG BOARD OF PUBLIC WORKS","Gas Distribution","ACTIVE",1096,"BAMBERG BOARD OF PUBLIC WORKS","Current"
"166",1120,"BARDWELL GAS SYSTEM, CITY OF","Gas Distribution","ACTIVE",1120,"BARDWELL GAS SYSTEM, CITY OF","Current"
"167",1128,"BARLOW NATURAL GAS SYSTEM","Gas Distribution","ACTIVE",648,"New Commonwealth","Current"
"168",1130,"BASIN PIPELINE CORP","Gas Gathering","INACTIVE",19102,"Energen","Current"
"169",1134,"BARROW UTILITIES & ELECTRIC CORP","Gas Distribution","ACTIVE",1134,"BARROW UTILITIES & ELECTRIC CORP","Current"
"170",1136,"BASILE, TOWN OF","Gas Distribution","ACTIVE",1136,"BASILE, TOWN OF","Current"
"171",1152,"BATESVILLE GAS DEPT, CITY OF","Gas Distribution","ACTIVE",1152,"BATESVILLE GAS DEPT, CITY OF","Current"
"172",1160,"BATESVILLE GAS UTILITY","Gas Distribution","ACTIVE",1160,"BATESVILLE GAS UTILITY","Current"
"173",1168,"BATH ELECTRIC GAS & WATER SYSTEMS","Gas Distribution","ACTIVE",1168,"BATH ELECTRIC GAS & WATER SYSTEMS","Current"
"174",1184,"BAY CITY MUNICIPAL GAS SYSTEM","Gas Distribution","ACTIVE",1184,"BAY CITY MUNICIPAL GAS SYSTEM","Current"
"175",1192,"NORTH BALDWIN UTILITIES","Gas Distribution","ACTIVE",1192,"NORTH BALDWIN UTILITIES","Current"
"176",1200,"BAY ST LOUIS MUNICIPLE GAS, CITY OF","Gas Distribution","ACTIVE",1200,"BAY ST LOUIS MUNICIPLE GAS, CITY OF","Current"
"177",1208,"BAY SPRINGS NATURAL GAS SYSTEM, TOWN OF","Gas Distribution","ACTIVE",1208,"BAY SPRINGS NATURAL GAS SYSTEM, TOWN OF","Current"
"178",1209,"COLUMBIA GAS OF MASSACHUSETTS","Gas Distribution","INACTIVE",1209,"COLUMBIA GAS OF MASSACHUSETTS","Current"
"179",1209,"COLUMBIA GAS OF MASSACHUSETTS","Gas Transmission","INACTIVE",1209,"COLUMBIA GAS OF MASSACHUSETTS","Current"
"180",1209,"COLUMBIA GAS OF MASSACHUSETTS","LNG Plant/Facility","INACTIVE",1209,"COLUMBIA GAS OF MASSACHUSETTS","Current"
"181",1217,"BEAR CREEK STORAGE CO","Gas Transmission","ACTIVE",18092,"Kinder Morgan","Current"
"182",1217,"BEAR CREEK STORAGE CO","Gas Transmission","ACTIVE",2564,"Kinder Morgan","Current"
"183",1217,"BEAR CREEK STORAGE CO","UNGS","ACTIVE",2564,"Kinder Morgan","Current"
"184",1224,"BEAUMONT MUNICIPAL GAS, TOWN OF","Gas Distribution","ACTIVE",1224,"BEAUMONT MUNICIPAL GAS, TOWN OF","Current"
"185",1232,"BEDFORD NATURAL GAS SYSTEM","Gas Distribution","ACTIVE",1232,"BEDFORD NATURAL GAS SYSTEM","Current"
"186",1232,"BEDFORD NATURAL GAS SYSTEM","Gas Transmission","ACTIVE",1232,"BEDFORD NATURAL GAS SYSTEM","Current"
"187",1240,"BELFRY GAS INC","Gas Distribution","INACTIVE",32601,"KENTUCKY FRONTIER","Current"
"188",1248,"BELLE FOURCHE PIPELINE CO","Hazardous Liquid","ACTIVE",1248,"Belle Fourche Pipeline Co.","Current"
"189",1256,"BELLE RIVE GAS CO","Gas Distribution","ACTIVE",1256,"BELLE RIVE GAS CO","Current"
"190",1272,"BELLVILLE, CITY OF","Gas Distribution","ACTIVE",1272,"BELLVILLE, CITY OF","Current"
"191",1280,"BELMONT NATURAL GAS SYSTEM, TOWN OF","Gas Distribution","ACTIVE",1280,"BELMONT NATURAL GAS SYSTEM, TOWN OF","Current"
"192",1304,"BENNETTSVILLE ELECTRIC & GAS, CITY OF","Gas Distribution","ACTIVE",1304,"BENNETTSVILLE ELECTRIC & GAS, CITY OF","Current"
"193",1312,"CITY OF BENSON","Gas Distribution","ACTIVE",1312,"CITY OF BENSON","Current"
"194",1328,"BENTON GAS SYSTEM, CITY OF","Gas Distribution","ACTIVE",1328,"BENTON GAS SYSTEM, CITY OF","Current"
"195",1336,"BERGER CITY NATURAL GAS SYSTEM","Gas Distribution","ACTIVE",1336,"BERGER CITY NATURAL GAS SYSTEM","Current"
"196",1344,"BERKSHIRE GAS CO","Gas Distribution","ACTIVE",1344,"BERKSHIRE GAS CO","Current"
"197",1344,"BERKSHIRE GAS CO","LNG Plant/Facility","ACTIVE",1344,"BERKSHIRE GAS CO","Current"
"198",1360,"BERNIE MUNICIPAL SYSTEM, CITY OF","Gas Distribution","ACTIVE",1360,"BERNIE MUNICIPAL SYSTEM, CITY OF","Current"
"199",1376,"BERWICK, TOWN OF","Gas Distribution","ACTIVE",1376,"BERWICK, TOWN OF","Current"
"200",1384,"BESSEMER CITY MUNICIPAL SYSTEM, CITY OF","Gas Distribution","ACTIVE",1384,"BESSEMER CITY MUNICIPAL SYSTEM, CITY OF","Current"
"201",1392,"BETHANY MUNICIPAL GAS SYSTEM","Gas Distribution","ACTIVE",1392,"BETHANY MUNICIPAL GAS SYSTEM","Current"
"202",1400,"BETHANY MUNICIPAL GAS SYSTEM","Gas Distribution","ACTIVE",1400,"BETHANY MUNICIPAL GAS SYSTEM","Current"
"203",1408,"BIG LAKE GAS DEPT, CITY OF","Gas Distribution","ACTIVE",1408,"BIG LAKE GAS DEPT, CITY OF","Current"
"204",1426,"BIG SANDY GAS COMPANY","Gas Gathering","INACTIVE",2001,"Cabot OandG","Current"
"205",1448,"BILLINGS GAS CO, TOWN OF","Gas Distribution","ACTIVE",1448,"BILLINGS GAS CO, TOWN OF","Current"
"206",1456,"BISMARCK GAS SYSTEM, CITY OF","Gas Distribution","ACTIVE",1456,"BISMARCK GAS SYSTEM, CITY OF","Current"
"207",1472,"BLACK MARLIN PIPELINE CO","Gas Gathering","ACTIVE",30826,"Williams Field","Current"
"208",1472,"BLACK MARLIN PIPELINE CO","Gas Transmission","ACTIVE",30826,"Williams Field","Current"
"209",1486,"BLACK WARRIOR TRANSMISSION CORP","Gas Transmission","ACTIVE",1486,"BLACK WARRIOR TRANSMISSION CORP","Current"
"210",1504,"BLACKSTONE GAS CO","Gas Distribution","INACTIVE",1504,"BLACKSTONE GAS CO","Current"
"211",1512,"CARDINAL NATURAL GAS NORTHERN DIV. - BLACKSVILLE","Gas Distribution","INACTIVE",1512,"BLACKSVILLE OIL & GAS CO","Current"
