Calendar Year,Portal_Year,State Abbreviation,Operator ID,Operator Business Name,Unknown ,Unknown ,Pre 1940s,1940-1949,1950-1959 ,1960-1969 ,1970-1979 ,1980-1989,1990-1999 ,2000-2009 ,2010-2019 ,2020-2029,Total Miles by Decade,Unknown services,Pre 1940 Number of Services,1940-1949 Number of Services,1950-1959 Number of Services,1960-1969 Number of Services,1970-1979 Number of Services,1980-1989 Number of Services,1990-1999 Number of Services,2000-2009 Number of Services,2010-2019 Number of Services,2020-2029 Number of Services,Case Mains_Services, CASE 'Mains' WHEN 'Mains' THEN '1' ELSE '0' END
2005,2022-01-11,AL,2300,CHEROKEE WATERWORKS & GAS BOARD,0,0,0,0,0,19,0,0,0,3,,,22,0,0,0,0,397,0,0,0,4,,,1,1
2005,2022-01-11,AL,2304,CHILDERSBURG GAS BOARD,0,0,0,0,20,7,7,5,32,17,,,88,0,0,0,495,154,204,375,712,265,,,1,1
2005,2022-01-11,AL,2421,"CITRONELLE GAS UTILITIES BOARD, TOWN OF",305,305,0,0,0,0,0,0,74,39,,,418,5247,0,0,0,0,0,0,1169,779,,,1,1
2005,2022-01-11,AL,2456,CLARKE - MOBILE COUNTIES GAS DIST,0,0,0,0,0,151,4,55,229,-4,,,435,0,0,0,0,3100,345,1415,3668,298,,,1,1
2005,2022-01-11,AL,2688,SOUTH ALABAMA GAS DISTRICT,0,0,0,0,0,134,64,90,143,3,,,434,0,0,0,0,2314,704,1233,1781,236,,,1,1
2005,2022-01-11,AL,2784,"CORDOVA, WATER WORKS & GAS BOARD FO THE CITY OF",0,0,0,0,0,0,0,0,0,23,,,23,0,0,0,0,0,0,0,0,776,,,1,1
2005,2022-01-11,AL,2904,CULLMAN - JEFFERSON CO GAS DIST,315,315,0,0,0,0,0,0,331,139,,,785,7114,0,0,0,0,0,0,4391,1659,,,1,1
2005,2022-01-11,AL,3050,DADEVILLE WATER SUPPPLY & GAS BOARD,0,0,0,0,29,0,0,17,8,3,,,57,0,0,0,237,0,0,450,160,45,,,1,1
2005,2022-01-11,AL,3130,"DAPHNE UTILITY DEPT, CITY OF",17,17,0,0,20,3,5,20,46,88,,,199,230,0,0,500,148,155,287,797,1315,,,1,1
2005,2022-01-11,AL,3183,DECATUR UTILITIES - GAS DEPARTMENT,0,0,0,0,14,22,69,127,163,18,,,413,0,0,0,43,497,3154,1826,7052,1688,,,1,1
2005,2022-01-11,AL,3200,DEKALB - CHEROKEE COUNTIES GAS DISTRICT,0,0,0,0,60,81,17,126,223,89,,,596,0,0,0,1179,1125,323,2056,2905,1359,,,1,1
2005,2022-01-11,AL,3490,"DORA GAS BOARD, TOWN OF",0,0,0,0,20,0,0,8,2,4,,,34,801,0,0,0,0,0,0,87,56,,,1,1
2005,2022-01-11,AL,5040,"FAIRHOPE GAS SYSTEM, CITY OF",0,0,0,0,45,25,192,49,128,20,,,459,0,0,0,1834,1498,818,864,3218,963,,,1,1
2005,2022-01-11,AL,5090,"FAYETTE GAS BOARD, CITY OF",0,0,0,0,22,15,18,18,18,15,,,106,0,0,0,415,400,532,504,311,245,,,1,1
2005,2022-01-11,AL,5260,"FLOMATON GAS SYSTEM, TOWN OF",0,0,0,14,0,5,0,2,1,0,,,22,0,0,304,0,227,0,0,0,0,,,1,1
2005,2022-01-11,AL,5290,"FLORALA UTILITY BOARD, CITY OF",0,0,0,0,0,31,0,0,1,0,,,32,0,0,0,0,875,4,4,6,7,,,1,1
2005,2022-01-11,AL,5300,"FLORENCE GAS DEPT, CITY OF",0,0,0,0,118,56,62,65,216,29.05,,,546.05,0,0,0,3025,1621,1731,2773,6847,2545,,,1,1
2005,2022-01-11,AL,5340,"FOLEY UTILITY BOARD, CITY OF (RIVIERA UTIL)",0,0,0,0,96,26,30,25,82,47,,,306,0,0,0,1406,972,638,290,647,416,,,1,1
2005,2022-01-11,AL,6320,GENEVA COUNTY GAS DIST,0,0,0,0,0,135,5,8,0,0,,,148,0,0,0,0,1000,1000,1000,125,81,,,1,1
2005,2022-01-11,AL,6460,"GORDO WATER GAS & SEWER BOARD, TOWN OF",0,0,0,0,14,2,0,1,1,2,,,20,0,0,0,256,166,50,42,50,29,,,1,1
2005,2022-01-11,AL,6630,GRAYSVILLE MUNICIPAL GAS SYSTEM,0,0,0,0,71,43,32,10,1,1,,,158,0,0,0,2716,2317,1770,899,85,131,,,1,1
2005,2022-01-11,AL,7110,HARTSELLE UTILITIES BOARD,0,0,0,0,15,10,30,45,60,25,,,185,0,0,0,142,228,291,433,1368,1577,,,1,1
2005,2022-01-11,AL,7685,HUNTSVILLE GAS SYSTEM,923,923,0,0,0,0,0,0,0,142,,,1065,38782,0,0,0,0,0,0,0,5563,,,1,1
2005,2022-01-11,AL,9070,"JACKSONVILLE WATER WORK, GAS & SEWER BOARD",0,0,0,17,0,0,14,0,14,14,,,59,0,0,866,0,0,145,0,851,763,,,1,1
2005,2022-01-11,AL,11216,"LANETT GAS DEPT, CITY OF",52,52,0,0,0,0,0,0,0,0,,,52,2819,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,AL,11312,LAWRENCE - COLBERT CITY GAS DISTRICT,93,93,0,0,0,0,0,0,0,0,,,93,1743,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,AL,11595,"LIVINGSTON UTILITIES BOARD, CITY OF",0,0,0,0,29,1,1,2,3,1,,,37,0,0,0,68,50,68,100,200,130,,,1,1
2005,2022-01-11,AL,11864,"LOXLEY, TOWN OF",0,0,0,0,0,0,16,0,0,2,,,18,0,0,0,0,0,329,0,0,87,,,1,1
2005,2022-01-11,AL,12120,MAPLESVILLE GAS SYSTEM,0,0,0,0,0,0,0,0,68,10,,,78,0,0,0,0,0,0,0,745,62,,,1,1
2005,2022-01-11,AL,12180,MARSHALL COUNTY GAS DISTRICT,243,243,0,0,0,0,0,68,386,111,,,808,10675,0,0,0,0,0,3508,7515,1719,,,1,1
2005,2022-01-11,AL,12642,SPIRE GULF INC.,0,0,74,60,381,276,207,242,711,186,,,2137,0,1336,995,6119,8770,18039,23411,40236,11567,,,1,1
2005,2022-01-11,AL,12824,MOULTON GAS SYSTEM,0,0,0,0,0,34,2,2,51,6,,,95,0,0,0,0,450,50,26,961,271,,,1,1
2005,2022-01-11,AL,12900,MULGA NATURAL GAS SYSTEM,42,42,0,0,0,0,0,0,0,0,,,42,1486,0,0,0,0,0,60,152,82,,,1,1
2005,2022-01-11,AL,13535,NORTH ALABAMA GAS DISTRICT,0,0,0,0,15,59,20,121,251,95,,,561,0,0,0,315,1176,505,2848,6959,3093,,,1,1
2005,2022-01-11,AL,13820,NORTHWEST ALABAMA GAS DISTRICT,0,0,0,0,151,96,127,196,611,46,,,1227,0,0,0,2595,253,3112,5934,6460,903,,,1,1
2005,2022-01-11,AL,14320,ONEONTA GAS DEPT,0,0,0,0,25,27,6,27,60,23,,,168,0,0,0,1250,856,150,300,500,353,,,1,1
2005,2022-01-11,AL,15504,PICKENS COUNTY NATURAL GAS DISTRICT,0,0,0,0,41,3,4,6,5,2,,,61,0,0,0,812,324,119,211,156,136,,,1,1
2005,2022-01-11,AL,15525,"PIEDMONT WATER WORKS GAS & SEWER BOARD, CITY OF",4,4,0,0,20,20,0,21,0,4,,,69,1073,0,0,0,0,0,400,300,300,,,1,1
2005,2022-01-11,AL,17130,"RED BAY NATURAL GAS SYSTEM, TOWN OF",0,0,0,0,56,0,0,10,18,0,,,84,0,0,0,215,125,524,418,363,72,,,1,1
2005,2022-01-11,AL,17750,RUSSELVILLE GAS BOARD,0,0,0,0,0,0,78,65,91,35,,,269,0,0,0,0,0,1899,1189,2354,316,,,1,1
2005,2022-01-11,AL,18140,SCOTTSBORO WATER SEWER & GAS BOARD,0,0,0,0,0,57,5,3,75,52,,,192,0,0,0,0,1000,237,956,1557,420,,,1,1
2005,2022-01-11,AL,18252,SHEFFIELD GAS DEPARTMENT,0,0,0,0,0,1,2,35,49,12,,,99,0,0,0,0,12,13,1800,2100,889,,,1,1
2005,2022-01-11,AL,18324,SILVERHILL NATURAL GAS & WATERWORKS,0,0,0,0,0,9,0,0,1,0,,,10,0,0,0,0,182,0,13,22,0,,,1,1
2005,2022-01-11,AL,18456,SOUTHEAST GAS,0,0,0,0,536,144,85,106,289,144,,,1304,0,0,0,22861,10472,4866,-2380,6013,2716,,,1,1
2005,2022-01-11,AL,18644,STEVENSON UTILITIES BOARD,22.2,22.2,0,0,0,0,0,0,0,0,,,22.2,380,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,AL,18708,SUMITON GAS BOARD,0,0,0,0,0,31,0,15,2,1.1,,,49.1,0,0,0,0,528,0,917,57,24,,,1,1
2005,2022-01-11,AL,18784,SYLACAUGA GAS SYSTEM,0,0,0,0,52,37,134,136,156,38,,,553,0,0,0,1587,531,604,1040,2057,1035,,,1,1
2005,2022-01-11,AL,19050,"TALLASSEE, CITY OF",57,57,0,0,0,0,0,0,0,0,,,57,2185,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,AL,19740,"TRUSSVILLE, UTILITIES BOARD, CITY OF",345.03,345.03,0,0,0,0,0,0,93,55.19,,,493.22,16648,0,0,0,0,0,0,3514,1658,,,1,1
2005,2022-01-11,AL,19760,"TUSCUMBIA GAS DEPT, CITY OF",0,0,0,0,29,13,5,3,9,4,,,63,0,0,0,991,305,604,474,743,199,,,1,1
2005,2022-01-11,AL,22014,WADLEY GAS SYSTEMS,9,9,0,0,0,0,0,0,0,0,,,9,191,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,AL,22322,WEDOWEE UTILITIES GAS BOARD,53,53,0,0,0,0,0,0,6,0,,,59,426,0,0,0,0,0,0,152,103,,,1,1
2005,2022-01-11,AL,22406,WEST JEFFERSON GAS SYSTEM,0,0,0,0,0,30,0,0,0,0,,,30,648,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,AL,22605,WILCOX COUNTY GAS DISTRICT,0,0,0,0,0,87,0,1,3,0.5,,,91.5,0,0,0,0,488,0,1,124,25,,,1,1
2005,2022-01-11,AL,22693,WILTON GAS DEPT,0,0,0,0,3,1,0,0.1,1,0.2,,,5.3,0,0,0,113,25,12,29,16,7,,,1,1
2005,2022-01-11,AL,24040,"YORK GAS DEPT, CITY OF",0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,AL,30530,EAST CENTRAL ALABAMA GAS DISTRICT,0,0,0,0,117,5,0,8,25,16,,,171,0,0,0,1100,511,243,159,968,74,,,1,1
2005,2022-01-11,AL,31157,WHEELER BASIN NATURAL GAS CO,0,0,0,0,0,0,0,0,162,7,,,169,0,0,0,0,0,0,0,2829,571,,,1,1
2005,2022-01-11,AL,31203,"BIRMINGHAM GAS PRODUCERS, LLC",0,0,0,0,0,0,0,0,2,0,,,2,0,0,0,0,0,0,0,1,0,,,1,1
2005,2022-01-11,AL,32139,"GRANGER ENERGY OF DECATUR, LLC",0,0,0,0,0,0,0,0,0,1.03,,,1.03,0,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,AR,603,CENTERPOINT ENERGY RESOURCES CORP.,11045,11045,0,0,0,0,0,0,650,1300,,,12995,449954,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,AR,621,ARKANSAS OKLAHOMA GAS CORP,0,0,105,79,112,238,179,220,449,111,,,1493,30552,10,27,710,19,4323,5484,9006,3284,,,1,1
2005,2022-01-11,AR,630,SOURCEGAS ARKANSAS INC.,0,0,27,179,670,667,482,746,811,549,,,4131,3892,3577,16676,12789,16181,19687,45290,21360,17460,,,1,1
2005,2022-01-11,AR,3330,DES ARC MUNICIPAL GAS CO,0,0,0,0,58,0,4,0,34,0,,,96,0,0,0,1232,0,26,18,104,36,,,1,1
2005,2022-01-11,AR,3339,DEVALLS BLUFF GAS SYSTEM,0,0,0,0,0,0,0,16,0,0,,,16,0,0,0,0,0,0,240,45,6,,,1,1
2005,2022-01-11,AR,7095,HARRISBURG WATER & GAS DIV,97.7,97.7,0,0,0,0,0,0,15.1,32.4,,,145.2,1490,0,0,0,0,0,0,194,400,,,1,1
2005,2022-01-11,AR,7190,HAZEN NATURAL GAS CO,38,38,0,0,0,0,0,0,0,0,,,38,518,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,AR,11652,LOGAN TOWNSHIP GAS USERS ASSOC INC,0.05,0.05,0,0,0,0,6,0,0,1,,,7.05,0,0,0,0,0,80,0,4,4,,,1,1
2005,2022-01-11,AR,13610,NORTH CROSSETT GAS & WATER,29,29,0,0,0,0,0,0,0,0,,,29,1359,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,AR,30044,"CITY LIGHT, WATER & GAS",0,0,0,0,0,21,0,5,0,0,,,26,0,0,0,0,866,0,75,0,0,,,1,1
2005,2022-01-11,AZ,1312,CITY OF BENSON,0,0,0,0,0,0,23,23,11,3,,,60,0,0,0,0,0,1100,440,395,98,,,1,1
2005,2022-01-11,AZ,2778,"COPPER MARKET, INC",0,0,0,0,0,0,14,2,0,0.5,,,16.5,0,0,0,0,0,646,134,0,18,,,1,1
2005,2022-01-11,AZ,6484,GRAHAM COUNTY UTIL INC,141,141,0,0,0,0,0,0,48,27,,,216,3560,0,0,0,0,0,0,990,388,,,1,1
2005,2022-01-11,AZ,12378,"MESA MUNICIPAL SYSTEM, CITY OF",0,0,0,29,95,173,168,149,230,279,,,1123,0,0,892,4377,6845,6926,4364,9996,23746,,,1,1
2005,2022-01-11,AZ,18028,"SAFFORD UTILITIES DIV, CITY OF",10,10,7,0,2,1,6,14,23,4,,,67,2362,0,0,0,0,5,185,221,643,,,1,1
2005,2022-01-11,AZ,18536,SOUTHWEST GAS CORP,1175,1175,69,537,1662,1534,1428,2704,4476,3475,,,17060,24796,1459,12766,79990,27479,40791,200373,280555,245572,,,1,1
2005,2022-01-11,AZ,22609,"WILLCOX MUNICIPAL SYSTEM, CITY OF",36,36,0,0,0,0,0,0,4,4,,,44,889,0,0,0,0,0,0,150,125,,,1,1
2005,2022-01-11,AZ,31432,ALLIANT GAS,0,0,0,0,0,11,33.875,35,60,38.625,,,178.5,0,0,0,0,120,821,1899,3627,1040,,,1,1
2005,2022-01-11,AZ,31795,COLORADO CITY GAS DEPARTMENT,0,0,0,0,0,0,0,0,0,12,,,12,0,0,0,0,0,0,0,0,242,,,1,1
2005,2022-01-11,AZ,31840,UNISOURCE ENERGY SERVICES,0,0,0,2,275,470,317,273,813,561,,,2711,0,0,331,11213,13637,16901,19392,44037,37733,,,1,1
2005,2022-01-11,CA,2524,"COALINGA, CITY OF",11,11,0,2,4,2,3,5,10.5,2,,,39.5,1294,0,215,433,215,135,334,768,142,,,1,1
2005,2022-01-11,CA,11712,"LONG BEACH GAS DEPT, CITY OF",0,0,24,90,279,304,99,47,33,44,,,920,0,17997,13560,21462,7249,9033,8845,6299,6402,,,1,1
2005,2022-01-11,CA,15007,PACIFIC GAS & ELECTRIC CO,0,0,2187,3293,6393,6411,7450,5842,5693,3435,,,40704,0,125265,189630,441534,467294,654612,528052,512595,290249,,,1,1
2005,2022-01-11,CA,15084,"PALO ALTO, CITY OF",10,10,13,12,26,27,32,18,40,29,,,207,395,448,414,1186,1488,2311,3029,5234,4793,,,1,1
2005,2022-01-11,CA,18112,SAN DIEGO GAS & ELECTRIC CO,0,0,201,282,1180,1145,1470,1566,1181,1000,,,8025,0,7953,24589,93518,80386,122463,113441,88261,48543,,,1,1
2005,2022-01-11,CA,18338,SUBURBAN PROPANE,25,25,0,0,0,0,0,0,0,0,,,25,1355,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,CA,18480,SOUTHERN CALIFORNIA EDISON CO,0,0,0,0,0,7.85,0.38,0.2,0,0.71,,,9.14,0,0,0,0,890,59,7,0,24,,,1,1
2005,2022-01-11,CA,18484,SOUTHERN CALIFORNIA GAS CO,0,0,2726,2786,7883,6946,7066,9558,5109,4018,,,46092,2,78138,165613,671184,639099,727549,1029763,514332,386884,,,1,1
2005,2022-01-11,CA,18536,SOUTHWEST GAS CORP,53,53,1,4,225,335,512,474,651,584,,,2839,1254,0,110,1462,3659,22543,40609,42180,44873,,,1,1
2005,2022-01-11,CA,30740,AMERIGAS EAGLE PROPANE LP,2,2,0,0,0,0,0,0,0,0,,,2,135,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,CA,30965,BULLDOG GAS & POWER LLC,0,0,0,0,0,0,0,5,0,0,,,5,0,0,0,0,0,0,1,0,0,,,1,1
2005,2022-01-11,CA,31087,U.S. BORAX,0,0,0,0,0,0,0,0,2,0,,,2,0,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,CA,31097,ISLAND ENERGY,0,0,0,0,0,0,0,0,0,17,,,17,0,0,0,0,0,0,0,0,401,,,1,1
2005,2022-01-11,CA,31267,WEST COAST GAS CO INC,0,0,0,0,5,20,6,0,0,12,,,43,0,0,0,10,110,0,0,10,1282,,,1,1
2005,2022-01-11,CA,31515,ALPINE NATURAL GAS,0,0,0,0,0,0,0,0,0,31.75,,,31.75,0,0,0,0,0,0,0,0,1025,,,1,1
2005,2022-01-11,CA,31599,CITY OF SUSANVILLE,0,0,0,0,0,0,0,0,0,57,,,57,0,0,0,0,0,0,0,0,2470,,,1,1
2005,2022-01-11,CA,31684,PHILLIPS 66 PIPELINE LLC,0,0,0,0,7,0,0,0,2,0,,,9,0,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,CA,31792,CAMPORA PROPANE SERVICE,0,0,0,0,0,0,0,0,0,4.07,,,4.07,0,0,0,0,0,0,0,0,300,,,1,1
2005,2022-01-11,CA,31964,KAMPS PROPANE,0,0,0,0,0,1,4.1,1.3,0,0,,,6.4,0,0,0,0,76,470,98,0,0,,,1,1
2005,2022-01-11,CA,31975,SONORA J.S. WEST & CO PROPANE,0,0,0,0,0,0,0,0,0,2,,,2,0,0,0,0,0,0,0,0,168,,,1,1
2005,2022-01-11,CA,31986,"CITY OF GLENDALE, GLENDALE WATER & POWER",0,0,0,0,0,0,0,0,5,0,,,5,0,0,0,0,0,0,0,1,0,,,1,1
2005,2022-01-11,CA,31993,ROCK CREEK ENERGY LLC,0,0,0,0,0,0,0,0,1,16,,,17,0,0,0,0,0,0,0,1,358,,,1,1
2005,2022-01-11,CA,32013,AMERIGAS PROPANE LP,0,0,0,0,0,0,0,0.75,0,0,,,0.75,0,0,0,0,0,0,136,0,0,,,1,1
2005,2022-01-11,CA,32356,PRO-FLAME GAS,0,0,0,0,0,0,0,0,0,9.172,,,9.172,0,0,0,0,0,0,0,0,473,,,1,1
2005,2022-01-11,CO,81,"AGUILAR, TOWN OF",0,0,0,0,0,5,0,0,0,0.25,,,5.25,0,0,0,0,234,0,0,0,4,,,1,1
2005,2022-01-11,CO,2172,CENTER MUNICIPAL GAS SYSTEM,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,CO,2568,"COLORADO SPRINGS, CITY OF",19,19,94,77,248,351,442,407,296,282,,,2216,3645,6660,4572,15140,16304,32711,34018,21714,21011,,,1,1
2005,2022-01-11,CO,4100,EASTERN COLORADO UTILITY CO,0,0,0,0,9,36,15,16,65,57,,,198,0,0,0,290,535,595,530,815,1027,,,1,1
2005,2022-01-11,CO,5440,"FORT MORGAN GAS DEPT, CITY OF",0,0,0,0,28.483,5.528,9.87,4.591,41.222,5.791,,,95.485,0,0,0,1609,721,403,129,820,348,,,1,1
2005,2022-01-11,CO,6720,ATMOS ENERGY CORPORATION - COLORADO/KANSAS,0,0,57,145,259,776,489,460,460.3,287,,,2933.3,0,8011,15631,4252,3347,14251,6802,26389,4662,,,1,1
2005,2022-01-11,CO,8020,IGNACIO MUNICIPAL GAS,8,8,0,0,0,0,0,0,0,0,,,8,414,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,CO,10030,SOURCEGAS LLC,2227.295,2227.295,0,0,0,0,0,0,0,300.635,,,2527.93,71620,0,0,0,0,0,0,0,6447,,,1,1
2005,2022-01-11,CO,15359,BLACK HILLS ENERGY,1286,1286,0,0,0,0,0,511,648,315,,,2760,33964,0,0,0,0,0,11212,5723,2806,,,1,1
2005,2022-01-11,CO,15931,PUBLIC SERVICE CO OF COLORADO,0,0,157,339,1998,2699,4157,3252,4547,3019,,,20168,0,11919,22579,133317,132902,202577,158183,204256,106013,,,1,1
2005,2022-01-11,CO,17070,"RANGELY, TOWN OF",0,0,0,0,0,0,2,15,9,5,,,31,0,0,0,0,0,95,404,336,173,,,1,1
2005,2022-01-11,CO,19680,"TRINIDAD, CITY OF",0,0,0,0,0,0,0,0,61,6,,,67,0,0,0,0,0,0,0,4054,224,,,1,1
2005,2022-01-11,CO,22112,"WALSENBURG, CITY OF",0,0,0,0,0,28,0,1,4,3,,,36,0,0,0,0,415,895,21,100,135,,,1,1
2005,2022-01-11,CO,30839,"WALDEN, TOWN OF",0,0,0,0,13,2,23,1,4,0.25,,,43.25,0,0,0,460,50,50,10,10,12,,,1,1
2005,2022-01-11,CO,31316,COLORADO NATURAL GAS INC.,0,0,0,0,0,0,0,0,185,272.1,,,457.1,0,0,0,0,0,0,0,2123,5652,,,1,1
2005,2022-01-11,CO,31628,CHEYENNE MOUNTAIN ESTATES,0,0,0,0,0,0,0,0,0,2.96,,,2.96,0,0,0,0,0,0,0,0,221,,,1,1
2005,2022-01-11,CT,2700,CONNECTICUT NATURAL GAS CORP,0,0,391,40,214,380,224,247,298,193,,,1987,341,13418,666,6203,15679,18902,22046,25515,17119,,,1,1
2005,2022-01-11,CT,13860,"NORWICH DEPT OF PUBLIC UTILITIES, CITY OF",0,0,32,4,6,13,11,27,25,9,,,127,0,527,128,244,400,463,1404,1088,747,,,1,1
2005,2022-01-11,CT,18496,SOUTHERN CONNECTICUT GAS CO,0,0,664,40,170,385,223,304,288,170,,,2244,0,33940,0,1794,11953,16061,25560,21093,17290,,,1,1
2005,2022-01-11,CT,24015,YANKEE GAS SERVICES CO,515,515,260,31,146,620,322,488,445,279,,,3106,12848,11274,938,5908,16849,18999,28285,23047,18865,,,1,1
2005,2022-01-11,CT,32154,SPICER GAS,0,0,0,0,0,0,0,0,0.59,0,,,0.59,0,0,0,0,0,0,0,41,0,,,1,1
2005,2022-01-11,DC,22182,WASHINGTON GAS LIGHT CO,148,148,411,42,97,99,68,110,158,55,,,1188,5715,5024,1878,14975,16620,33796,21051,14979,7885,,,1,1
2005,2022-01-11,DE,2309,CHESAPEAKE UTILITIES CORPORATION,0,0,7.071,3.484,7.125,66.541,17.325,65.188,195.6,199.338,,,561.672,0,432,243,429,4175,1058,3404,7945,13061,,,1,1
2005,2022-01-11,DE,3240,DELMARVA POWER & LIGHT COMPANY,0,0,102,23,183,352,103,251,635,210,,,1859,1286,581,993,10723,31323,10992,14931,32281,13791,,,1,1
2005,2022-01-11,DE,4149,EASTERN SHORE NATURAL GAS CO,0,0,0,0,1,0,0,0,0,0,,,1,0,0,0,1,0,0,0,0,0,,,1,1
2005,2022-01-11,FL,929,"SEBRING GAS SYSTEM, INC",0,0,11,0,0,3,0,4,11,0,,,29,0,0,0,0,562,0,243,0,50,,,1,1
2005,2022-01-11,FL,1121,BAREFOOT BAY PROPANE GAS CO,0,0,0,0,0,0,38,0,0,0,,,38,0,0,0,0,0,140,25,25,254,,,1,1
2005,2022-01-11,FL,1544,"BLOUNTSTOWN, CITY OF",41,41,0,0,0,0,0,0,0,0,,,41,1045,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,FL,2188,CENTRAL FLORIDA GAS CORP,409.64,409.64,0,0,0,0,6,35,127.128,122.72,,,700.488,593,56,39,342,540,857,4254,4041,5190,,,1,1
2005,2022-01-11,FL,2227,"CENTURY, TOWN OF",0,0,0,0,0,62,8,9,2,0,,,81,0,0,0,0,801,255,12,11,42,,,1,1
2005,2022-01-11,FL,2289,"CHATTAHOOCHEE, CITY OF",0,0,0,0,0,0,0,0,0,1039,,,1039,0,0,0,0,0,0,0,0,1039,,,1,1
