Calendar Year,Portal_Year,State Abbreviation,Operator ID,Operator Business Name,Pre 1940 or Unknown ,1940-1949,1950-1959 ,1960-1969,1970-1979,1980-1989,1990-1999,2000-2009,2010-2019,2020-2029,Total By Decade Miles,Trans pre 1940 Offshore Miles,Trans pre 1940 Onshore Miles,Trans Unknown by Dec Offshore Miles,Trans Unknown by Dec Onshore Miles,State Abbreviation
2005,2022-01-11,AL,18499,SOUTHERN GAS TRANSMISSION CO,0,0,0,0,0,0,50,0,,,50,0,0,0,0,AL
2005,2022-01-11,AL,18516,SOUTHERN NATURAL GAS CO,193.315,181,732.251,298.111,116,274.39,141.935,29,,,1966.002,0,193.315,0,0,AL
2005,2022-01-11,AL,18784,SYLACAUGA GAS SYSTEM,0,0,0,0,0,7,13,0,,,20,0,0,0,0,AL
2005,2022-01-11,AL,19102,ENERGEN RESOURCES CORP.,0,0,0,0,0,0,8,0,,,8,0,0,0,0,AL
2005,2022-01-11,AL,19160,TENNESSEE GAS PIPELINE COMPANY,0,0,85,89,42,7,0,1,,,224,0,0,0,0,AL
2005,2022-01-11,AL,19235,"TEXAS EASTERN TRANSMISSION, LP (SPECTRA ENERGY PARTNERS, LP)",0,0,93.44,52.22,7.59,1.71,4.95,0.38,,,160.29,0,0,0,0,AL
2005,2022-01-11,AL,19570,TRANSCONTINENTAL GAS PIPE LINE COMPANY,1,168,246,404,14,142,46,145,,,1166,0,0,0,1,AL
2005,2022-01-11,AL,20044,LINDE,0,0,0,0,0,0,0,0,,,0,0,0,0,0,AL
2005,2022-01-11,AL,20237,UNITED STATES STEEL CORP,0,0,0,0,0,1.5,0,0,,,1.5,0,0,0,0,AL
2005,2022-01-11,AL,22605,WILCOX COUNTY GAS DISTRICT,0,0,0,44,0,0,0,0,,,44,0,0,0,0,AL
2005,2022-01-11,AL,25172,UNOCAL ENERGY RESOURCE DIVISION,0,0,0,0,9,0,0,0,,,9,0,0,0,0,AL
2005,2022-01-11,AL,30026,"BAY GAS STORAGE COMPANY, LLC",0,0,0,0,0,0,23,28,,,51,0,0,0,0,AL
2005,2022-01-11,AL,30056,SAMSON RESOURCES COMPANY,0.02,0,0,0,0,0,0,0,,,0.02,0,0,0,0.02,AL
2005,2022-01-11,AL,30711,HILCORP ENERGY COMPANY,0,0,0,0,0,0,4,0,,,4,0,0,0,0,AL
2005,2022-01-11,AL,30826,WILLIAMS FIELD SERVICES,0,0,0,0,0,0,1,0,,,1,0,0,0,0,AL
2005,2022-01-11,AL,30946,"BBT ALABAMA INTRASTATE, LLC",0,0,0,0,0,0,115,2,,,117,0,0,0,0,AL
2005,2022-01-11,AL,30948,AMERICAN MIDSTREAM (ALABAMA GATHERING) LLC,0,0,0,0,4,0,0,0,,,4,0,0,0,0,AL
2005,2022-01-11,AL,31130,DCP MIDSTREAM,0,0,0,0,0,0,1,0,,,1,0,0,0,0,AL
2005,2022-01-11,AL,31391,"LINDE GAS NORTH AMERICA, LLC",0,0,0,0,0,0,4,7,,,11,0,0,0,0,AL
2005,2022-01-11,AL,31395,"BBT TENNESSEE RIVER, LLC",0,0,0,0,0,0,39,0,,,39,0,0,0,0,AL
2005,2022-01-11,AL,31565,"GULFSTREAM MANAGEMENT &  OPERATING SERVICES,LLC",0,0,0,0,0,0,0,27,,,27,0,0,0,0,AL
2005,2022-01-11,AL,31577,"BBT BAMAGAS INTRASTATE, LLC",0,0,0,0,0,0,0,52,,,52,0,0,0,0,AL
2005,2022-01-11,AL,31618,ENTERPRISE PRODUCTS OPERATING LLC,0,32,0,0,148,124,75,7,,,386,0,0,0,0,AL
2005,2022-01-11,AL,31679,DOMINION EXPLORATION & PRODUCTION,0,0,0,0,0,0,0,7,,,7,0,0,0,0,AL
2005,2022-01-11,AL,31724,SOUTHERN COMPANY PIPELINES,0,0,0,0,0,0,0,17,,,17,0,0,0,0,AL
2005,2022-01-11,AL,31728,"GULF SOUTH PIPELINE COMPANY, LLC",47,14,103,37,1,19,50,4,,,275,0,47,0,0,AL
2005,2022-01-11,AL,31775,CCI ROBINSON’S BEND LLC,0,0,0,0,0,0,0,0,,,0,0,0,0,0,AL
2005,2022-01-11,AL,31836,LEGACY RESOURCES CO LP,0,0,0,0,0,4,0.1,0,,,4.1,0,0,0,0,AL
2005,2022-01-11,AL,31839,"USG PIPELINE COMPANY, LLC",0,0,0,0,0,0,1,0,,,1,0,0,0,0,AL
2005,2022-01-11,AL,31882,"SOUTHCROSS ALABAMA GATHERING SYSTEM, L.P.",0,0,0,0,0,21,0,0,,,21,0,0,0,0,AL
2005,2022-01-11,AL,32066,GEOMET INC.,0,0,0,0,0,0,0,9,,,9,0,0,0,0,AL
2005,2022-01-11,AR,405,ANR PIPELINE CO,0,0,22,22,20,0,0,0,,,64,0,0,0,0,AR
2005,2022-01-11,AR,602,"ENABLE GAS TRANSMISSION, LLC",422,238,643,960,119,395,264,43,,,3084,0,422,0,0,AR
2005,2022-01-11,AR,603,CENTERPOINT ENERGY RESOURCES CORP.,16,6,108,64,11,17,10,0,,,232,0,0,0,16,AR
2005,2022-01-11,AR,621,ARKANSAS OKLAHOMA GAS CORP,10,16,10,6,11,43,43,15,,,154,0,10,0,0,AR
2005,2022-01-11,AR,630,SOURCEGAS ARKANSAS INC.,146,219,177,186,85,95,136,27,,,1071,0,122,0,24,AR
2005,2022-01-11,AR,876,"INTEGRATED SERVICES, INC",0,0,0,0,0,0,5,0,,,5,0,0,0,0,AR
2005,2022-01-11,AR,6345,GEORGIA-PACIFIC CONSUMER,0,0,0,1.5,7,0,0,0,,,8.5,0,0,0,0,AR
2005,2022-01-11,AR,12576,"ENABLE MISSISSIPPI RIVER TRANSMISSION, LLC",289,265,79,140,115,57,15,3,,,963,0,289,0,0,AR
2005,2022-01-11,AR,13120,NATURAL GAS PIPELINE CO OF AMERICA (KMI),0,0,315,588,1,0,3,1,,,908,0,0,0,0,AR
2005,2022-01-11,AR,14435,"OZARK GAS TRANSMISSION, L.L.C",0,0,0,0,0,175,272.25,0,,,447.25,0,0,0,0,AR
2005,2022-01-11,AR,19160,TENNESSEE GAS PIPELINE COMPANY,0,25,105,0,0,0,9,0,,,139,0,0,0,0,AR
2005,2022-01-11,AR,19235,"TEXAS EASTERN TRANSMISSION, LP (SPECTRA ENERGY PARTNERS, LP)",0,303.32,0.61,1.04,6.09,8.12,16.72,2.3,,,338.2,0,0,0,0,AR
2005,2022-01-11,AR,19270,"TEXAS GAS TRANSMISSION, LLC",6.042,70.886,95.725,36.67,14.698,9.969,2.395,0.121,,,236.506,0,5.727,0,0.315,AR
2005,2022-01-11,AR,19730,TRUNKLINE GAS CO,0,0,1.664,39.324,0,0.004,0.014,0.152,,,41.158,0,0,0,0,AR
2005,2022-01-11,AR,30666,"ENMARK ENERGY, INC",0,0,0,0,0,80,0,0,,,80,0,0,0,0,AR
2005,2022-01-11,AR,30850,LANXESS CORP.,0,0,0,0,0,0,2.5,0,,,2.5,0,0,0,0,AR
2005,2022-01-11,AR,30851,ALBEMARLE CORPORATION,0,0,0,3.7,0,0,0,0,,,3.7,0,0,0,0,AR
2005,2022-01-11,AR,31063,LKL GATHERING INC,0,0,0,0,0,0,0.42,0,,,0.42,0,0,0,0,AR
2005,2022-01-11,AR,31202,"ENABLE MIDSTREAM PARTNERS, LP",0,0,0,0,0,0,0,0,,,0,0,0,0,0,AR
2005,2022-01-11,AR,31219,"OZARK GAS GATHERING, L.L.C.",0,0,0,0,0,0,0.68,0,,,0.68,0,0,0,0,AR
2005,2022-01-11,AR,31238,ENTERGY CORP,0,8,0,0,0,0,0,0,,,8,0,0,0,0,AR
2005,2022-01-11,AR,31313,ACME BRICK LATERAL - KN ENGERY,0,0,0,0,0,0,9,0,,,9,0,0,0,0,AR
2005,2022-01-11,AR,31382,CIMAREX ENERGY CO. OF COLORADO,0,0,0,0,0,0,2,0,,,2,0,0,0,0,AR
2005,2022-01-11,AR,31494,CITY WATER AND LIGHT PLANT,0,0,0,0,0,0,11,0,,,11,0,0,0,0,AR
2005,2022-01-11,AR,31543,"BBT TRANS-UNION INTERSTATE PIPELINE, L.P.",0,0,0,0,0,0,0,21,,,21,0,0,0,0,AR
2005,2022-01-11,AR,31615,ENBRIDGE GATHERING (TEXARKANA) L.L.C.,0,0,0,0,0,0,0,0,,,0,0,0,0,0,AR
2005,2022-01-11,AR,31703,"WILLIAMS MLP OPERATING, LLC",0,0,0,0,0,0,0,0,,,0,0,0,0,0,AR
2005,2022-01-11,AR,31749,AECC- OSWALD GENERATING STATION,0,0,0,0,0,0,0,5,,,5,0,0,0,0,AR
2005,2022-01-11,AR,31862,HEELENA/WEST HELENA/PHILLIPS COUNTY PORT ATHY.,0,0,0,0,0,0,0,2,,,2,0,0,0,0,AR
2005,2022-01-11,AZ,840,MOJAVE PIPELINE OPERATING COMPANY,0,0,0,0,0,0,1,1,,,2,0,0,0,0,AZ
2005,2022-01-11,AZ,4280,EL PASO NATURAL GAS CO,404,636,2010,669,188,106,284,540,,,4837,0,404,0,0,AZ
2005,2022-01-11,AZ,12874,"DOMINION ENERGY QUESTAR PIPELINE, LLC",0,0,366,0,0,0,0,0,,,366,0,0,0,0,AZ
2005,2022-01-11,AZ,18536,SOUTHWEST GAS CORP,21,55,173,328,78,28,13,29,,,725,0,8,0,13,AZ
2005,2022-01-11,AZ,19610,TRANSWESTERN PIPELINE COMPANY LLC,0,0,0,474,1.97,0.36,218.1,0,,,694.43,0,0,0,0,AZ
2005,2022-01-11,AZ,31312,WEST PHOENIX POWER PLANT,0,0,0,0,0,0,0,1,,,1,0,0,0,0,AZ
2005,2022-01-11,AZ,31387,ZAPCO ENERGY TACTICS,0,0,0,0,0,0,4,0,,,4,0,0,0,0,AZ
2005,2022-01-11,AZ,31477,CPN PIPELINE COMPANY,0,0,0,0,0,0,0,1,,,1,0,0,0,0,AZ
2005,2022-01-11,AZ,31737,TUCSON ELECTRIC POWER COMPANY,0,0,0,0,0,0,0,19,,,19,0,0,0,0,AZ
2005,2022-01-11,AZ,31832,PINNACLE WEST ENERGY,0,0,0,0,0,0,0,1.21,,,1.21,0,0,0,0,AZ
2005,2022-01-11,AZ,31840,UNISOURCE ENERGY SERVICES,0,0,0,71,0,0,0,7,,,78,0,0,0,0,AZ
2005,2022-01-11,AZ,31891,NORTH BAJA PIPELINE LLC,0,0,0,0,0,0,0,0.35,,,0.35,0,0,0,0,AZ
2005,2022-01-11,AZ,32039,PIMALCO GAS,0,0,0,0,0,0,0.44,0,,,0.44,0,0,0,0,AZ
2005,2022-01-11,AZ,32079,HOLLOMAN OPERATING CORPORATION,0,0,0,0,0,0,0,37,,,37,0,0,0,0,AZ
2005,2022-01-11,CA,117,AIR PRODUCTS & CHEMICALS INC,0,0,0,0,0,2,2,7,,,11,0,0,0,0,CA
2005,2022-01-11,CA,840,MOJAVE PIPELINE OPERATING COMPANY,0,0,0,0,0,0,386,174,,,560,0,0,0,0,CA
2005,2022-01-11,CA,844,KERN RIVER GAS TRANSMISSION CO,0,0,0,0,0,0,102.515,135.585,,,238.1,0,0,0,0,CA
2005,2022-01-11,CA,997,MIDWAY SUNSET COGENERATION CO,0,0,0,0,0,0,4,0,,,4,0,0,0,0,CA
2005,2022-01-11,CA,999,"PACIFIC COAST ENERGY COMPANY, LP",6,0,0,0,0,2,0,0,,,8,0,0,0,6,CA
2005,2022-01-11,CA,2731,CHEVRON PIPE LINE CO,13,9,3,3,5,209,42,0,,,284,0,0,0,13,CA
2005,2022-01-11,CA,4280,EL PASO NATURAL GAS CO,0,0,0,0,0,0,0,1,,,1,0,0,0,0,CA
2005,2022-01-11,CA,4908,"EXXONMOBIL PRODUCTION COMPANY, A DIVISION OF EXXON MOBIL CORPORATION",0,0,0,0,0,0,0,0,,,0,0,0,0,0,CA
2005,2022-01-11,CA,12874,"DOMINION ENERGY QUESTAR PIPELINE, LLC",0,0,37,0,0,0,0,0,,,37,0,0,0,0,CA
2005,2022-01-11,CA,15007,PACIFIC GAS & ELECTRIC CO,307.952,397.901,1972.507,1146.6,329.506,476.819,752.342,87.73,,,5471.357,0,275.709,0,32.243,CA
2005,2022-01-11,CA,18112,SAN DIEGO GAS & ELECTRIC CO,4,56,41,68,21,7,44,2,,,243,0,4,0,0,CA
2005,2022-01-11,CA,18484,SOUTHERN CALIFORNIA GAS CO,360,598,1109,842,271,289,286,70,,,3825,0,360,0,0,CA
2005,2022-01-11,CA,18536,SOUTHWEST GAS CORP,0,0,7,2,2,13,2,0,,,26,0,0,0,0,CA
2005,2022-01-11,CA,18608,STANDARD PACIFIC GAS LINE INC,0.081,13.9,4.051,0.731,14.843,6.163,14.656,0.097,,,54.522,0,0.078,0,0.003,CA
2005,2022-01-11,CA,18667,FREEPORT-MCMORAN OIL & GAS,0,0,1,0,0,7,0,1,,,9,0,0,0,0,CA
2005,2022-01-11,CA,19410,THUMS LONG BEACH CO,0,0,0,1.25,0,0,2.6,0.27,,,4.12,0,0,0,0,CA
2005,2022-01-11,CA,19610,TRANSWESTERN PIPELINE COMPANY LLC,0,0,0,0,0,0,0.85,0,,,0.85,0,0,0,0,CA
2005,2022-01-11,CA,20044,LINDE,0,0,0,2,0,0,0,0,,,2,0,0,0,0,CA
2005,2022-01-11,CA,20202,ULTRAMAR INC.,0,0,0,3.29,0,0,0,0,,,3.29,0,0,0,0,CA
2005,2022-01-11,CA,21315,VINTAGE PIPELINE INC,0,0,15,0,0,0,4,0,,,19,0,0,0,0,CA
2005,2022-01-11,CA,26009,BERRY PETROLEUM CO,0,0,0,0,0,0,3,0,,,3,0,0,0,0,CA
2005,2022-01-11,CA,26134,EXXONMOBIL OIL CORP - WEST COAST,0,0,0,0,28,0,0,0,,,28,0,0,0,0,CA
2005,2022-01-11,CA,30546,BREA CANON OIL COMPANY,0,0,0,0,0,0,0,0,,,0,0,0,0,0,CA
2005,2022-01-11,CA,30749,SACRAMENTO MUNICIPAL UTILITY DISTRICT,0,0,0,0,0,0,49,27,,,76,0,0,0,0,CA
2005,2022-01-11,CA,30765,SHELL OIL PRODUCTS COMPANY,0,0,2,0,0,0,0,0,,,2,0,0,0,0,CA
2005,2022-01-11,CA,30838,TUSCARORA GAS TRANSMISSION COMPANY,0,0,0,0,0,0,177.26,11,,,188.26,0,0,0,0,CA
2005,2022-01-11,CA,31067,AERA ENERGY LLC,0,0,0,0,0,8.606,14.892,1.262,,,24.76,0,0,0,0,CA
2005,2022-01-11,CA,31068,SEAL BEACH GAS PROCESSING VENTURE,0,0,1,0,0,0,0,0,,,1,0,0,0,0,CA
2005,2022-01-11,CA,31228,"CALIFORNIA RESOURCES ELK HILLS, LLC",0,0,0,0,0,0,10,14,,,24,0,0,0,0,CA
2005,2022-01-11,CA,31287,WILD GOOSE STORAGE LLC,0,0,0,0,0,0,5,25,,,30,0,0,0,0,CA
2005,2022-01-11,CA,31295,PACIFIC OPERATORS OFFSHORE,0,0,0,6.575,0,0,0,0,,,6.575,0,0,0,0,CA
2005,2022-01-11,CA,31296,"VENOCO, INC",0,0,0,0,0,0,34,0,,,34,0,0,0,0,CA
2005,2022-01-11,CA,31367,"ARGUELLO, INC.",0,0,0,0,0,28,0,0,,,28,0,0,0,0,CA
2005,2022-01-11,CA,31393,DELTA GAS GATHERING INC,0,0,0,0,0,0,1.5,7,,,8.5,0,0,0,0,CA
2005,2022-01-11,CA,31394,CALIFORNIA GAS GATHERING INC,0,0,0,0,0,0,39,0,,,39,0,0,0,0,CA
2005,2022-01-11,CA,31477,CPN PIPELINE COMPANY,0,0,0,34,111,15,45,45,,,250,0,0,0,0,CA
2005,2022-01-11,CA,31541,GREKA,0,0,0,0,0,0,0,0,,,0,0,0,0,0,CA
2005,2022-01-11,CA,31610,BP WEST COAST PRODUCTS L.L.C.,0,0,0,19,0,0,0,0,,,19,0,0,0,0,CA
2005,2022-01-11,CA,31684,PHILLIPS 66 PIPELINE LLC,0,0,0,0,0,0,3,0,,,3,0,0,0,0,CA
2005,2022-01-11,CA,31697,"LODI GAS STORAGE, LLC",0,0,0,0,0,0,0,37,,,37,0,0,0,0,CA
2005,2022-01-11,CA,31891,NORTH BAJA PIPELINE LLC,0,0,0,0,0,0,0,79.85,,,79.85,0,0,0,0,CA
2005,2022-01-11,CA,31904,"SUNRISE POWER COMPANY, LLC",0,0,0,0,0,0,0,2,,,2,0,0,0,0,CA
2005,2022-01-11,CA,31919,MIDSTREAM ENERGY PARTNERS (USA) LLC,0,0,0,0,0,0,0,0,,,0,0,0,0,0,CA
2005,2022-01-11,CA,31955,CITY OF VERNON,0,0,0,0,0,0,2.5,4.3,,,6.8,0,0,0,0,CA
2005,2022-01-11,CA,32054,SILICON VALLEY POWER,0,0,0,0,0,0,0,2.3,,,2.3,0,0,0,0,CA
2005,2022-01-11,CA,32083,"DCOR, LLC",0,0,0,3.99,0,8.63,0,0,,,12.62,0,0,0,0,CA
2005,2022-01-11,CA,32088,"BIG WEST OF CALIFORNIA, LLC",0,0,0,0,0,2,0,0,,,2,0,0,0,0,CA
2005,2022-01-11,CA,32093,EX EL PIPELINE SERVICES LLC,0,0,0,0,0,0,0,12,,,12,0,0,0,0,CA
2005,2022-01-11,CA,32116,DICK BROWN TECHNICAL SERVICES,0,0,0,0,0,12,3,0,,,15,0,0,0,0,CA
2005,2022-01-11,CO,1007,"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC",125,0,201,6,60,31,41,0,,,464,0,0,0,125,CO
2005,2022-01-11,CO,2564,COLORADO INTERSTATE GAS CO,22,204,518,421,337,31,492,529,,,2554,0,22,0,0,CO
2005,2022-01-11,CO,4280,EL PASO NATURAL GAS CO,0,0,11,0,0,11,0,0,,,22,0,0,0,0,CO
2005,2022-01-11,CO,6720,ATMOS ENERGY CORPORATION - COLORADO/KANSAS,0,0,0,0,0,5.1,0,0,,,5.1,0,0,0,0,CO
2005,2022-01-11,CO,10030,SOURCEGAS LLC,0,0,8,41.386,0,0,4.804,0,,,54.19,0,0,0,0,CO
2005,2022-01-11,CO,11175,"LAMAR UTILITIES BOARD, CITY OF",0,0,0,0,21,0,19,0,,,40,0,0,0,0,CO
2005,2022-01-11,CO,12874,"DOMINION ENERGY QUESTAR PIPELINE, LLC",0,0,0,138,0,2,31,0,,,171,0,0,0,0,CO
2005,2022-01-11,CO,13845,NORTHWEST PIPELINE LLC,6.02,0,232.39,1.29,13.19,28.65,6,7.3,,,294.84,0,0,0,6.02,CO
2005,2022-01-11,CO,15359,BLACK HILLS ENERGY,0,0,0,78,0,4,40,0,,,122,0,0,0,0,CO
2005,2022-01-11,CO,15931,PUBLIC SERVICE CO OF COLORADO,56.69,105.39,183.85,864.91,349.03,202.03,450.29,104.03,,,2316.22,0,56.69,0,0,CO
2005,2022-01-11,CO,17090,RATON GAS TRANSMISSION CO,0,0,0,13,0,0,0,0,,,13,0,0,0,0,CO
2005,2022-01-11,CO,17620,ROCKY MOUNTAIN NATURAL GAS LLC,0,0,0,175,102,148,63,54,,,542,0,0,0,0,CO
2005,2022-01-11,CO,19574,TRAILBLAZER PIPELINE CO,0,0,0,0,0,115,1,0,,,116,0,0,0,0,CO
2005,2022-01-11,CO,19580,TRANSCOLORADO GAS TRANSMISSION COMPANY LLC,2,0,0,0,0,0,270,0,,,272,0,0,0,2,CO
2005,2022-01-11,CO,19610,TRANSWESTERN PIPELINE COMPANY LLC,0,0,0,0,0,0,10.94,0,,,10.94,0,0,0,0,CO
2005,2022-01-11,CO,22410,"WESTGAS INTERSTATE, INC",0,0,0,2,0,0,0,0,,,2,0,0,0,0,CO
2005,2022-01-11,CO,30826,WILLIAMS FIELD SERVICES,0,0,0,0,0,0,0,0,,,0,0,0,0,0,CO
2005,2022-01-11,CO,30839,"WALDEN, TOWN OF",0,0,0,0,0,0,8,0,,,8,0,0,0,0,CO
2005,2022-01-11,CO,31130,DCP MIDSTREAM,0,0,0,0,20,14,26,27,,,87,0,0,0,0,CO
2005,2022-01-11,CO,31178,XTO ENERGY INC,0,0,0,0,0,0,0,5,,,5,0,0,0,0,CO
2005,2022-01-11,CO,31316,COLORADO NATURAL GAS INC.,0,0,0,0,0,0,6,0,,,6,0,0,0,0,CO
2005,2022-01-11,CO,31477,CPN PIPELINE COMPANY,0,0,0,0,0,0,0,10,,,10,0,0,0,0,CO
2005,2022-01-11,CO,31511,PALADIN ENERGY PARTNERS LLC,0,0,0,0,0,0,11,0,,,11,0,0,0,0,CO
2005,2022-01-11,CO,31586,KERR-MCGEE GATHERING LLC,0,0,0,0,12,0,0,9,,,21,0,0,0,0,CO
2005,2022-01-11,CO,31618,ENTERPRISE PRODUCTS OPERATING LLC,0,0,0,0,0,0,1,0,,,1,0,0,0,0,CO
2005,2022-01-11,CO,31630,BP AMERICA PRODUCTION,0,0,0,0,0,0.915,0,0.915,,,1.83,0,0,0,0,CO
2005,2022-01-11,CO,31646,PLATTE RIVER POWER AUTHORITY,0,0,0,0,0,0,0,15,,,15,0,0,0,0,CO
2005,2022-01-11,CO,31707,CHEVRON U.S.A. INC - PERMIAN BASIN,0,0,0,0,0,6,0,0,,,6,0,0,0,0,CO
2005,2022-01-11,CO,31711,"SOUTHERN STAR CENTRAL GAS PIPELINE, INC",0,0,164,0,8,0,0,0,,,172,0,0,0,0,CO
2005,2022-01-11,CO,31755,"NOBLE MIDSTREAM SERVICES, LLC",0,0,0,0,0,8,0,0,,,8,0,0,0,0,CO
2005,2022-01-11,CO,31778,ENCANA OIL & GAS (USA) INC,0,0,0,0,0,0,86.85,36.398,,,123.248,0,0,0,0,CO
2005,2022-01-11,CO,31853,FOUNTAIN VALLEY POWER LLC,0,0,0,0,0,0,0,6,,,6,0,0,0,0,CO
2005,2022-01-11,CT,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",0,0,183.77,135.43,6.85,13.35,41.56,3.9,,,384.86,0,0,0,0,CT
2005,2022-01-11,CT,8310,IROQUOIS GAS CORP,0,0,0,0,0,0,69,0,,,69,0,0,0,0,CT
2005,2022-01-11,CT,19160,TENNESSEE GAS PIPELINE COMPANY,0,0,100,7,1,10,14,0,,,132,0,0,0,0,CT
2005,2022-01-11,DC,22182,WASHINGTON GAS LIGHT CO,0,0,11,3,6,0,0,0,,,20,0,0,0,0,DC
2005,2022-01-11,DE,2309,CHESAPEAKE UTILITIES CORPORATION,0,0,0,0,0,0,8.562,0,,,8.562,0,0,0,0,DE
2005,2022-01-11,DE,2616,"COLUMBIA GAS TRANSMISSION, LLC",0,0,0,0,0,3,0,0,,,3,0,0,0,0,DE
2005,2022-01-11,DE,3240,DELMARVA POWER & LIGHT COMPANY,0,0,0,0,0,7,0,0,,,7,0,0,0,0,DE
2005,2022-01-11,DE,4149,EASTERN SHORE NATURAL GAS CO,0,0,93,48,17,24,21,29,,,232,0,0,0,0,DE
2005,2022-01-11,DE,19235,"TEXAS EASTERN TRANSMISSION, LP (SPECTRA ENERGY PARTNERS, LP)",0,0,0,0,0,0,0.02,0.02,,,0.04,0,0,0,0,DE
2005,2022-01-11,DE,30544,OCCIDENTAL CHEMICAL CORP,0,0,0,1,0,0,0,0,,,1,0,0,0,0,DE
2005,2022-01-11,DE,31252,DELAWARE SOLID WASTE AUTHORITY,0,0,0,0,0,0,0.167,1.184,,,1.351,0,0,0,0,DE
2005,2022-01-11,FL,2188,CENTRAL FLORIDA GAS CORP,0,0,0,0,0,0,8.381,0,,,8.381,0,0,0,0,FL
2005,2022-01-11,FL,2432,FLORIDA CITY GAS,0,0,0,0,0,0,0,48,,,48,0,0,0,0,FL
2005,2022-01-11,FL,5304,FLORIDA GAS TRANSMISSION CO,0.46,0,1283.67,879.86,190.3,161.77,786.32,327.54,,,3629.92,0,0,0,0.46,FL
