Safety Program (SP) data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rows are sorted by submitting_opid, system_type, record_created",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_AS_OF,RECORD_SOURCE,RECORD_CREATED,SUBMITTING_OPID,SUBMITTING_OPID_STATUS,SUBMITTING_OPID_NAME,SYSTEM_TYPE,D&A_PRIMARY_OPID,D&A_PRIMARY_NAME,D&A_STATUS,D&A_ENTER_DATE,D&A_EXIT_DATE,OME_PRIMARY_OPID,OME_PRIMARY_NAME,OME_STATUS,OME_ENTER_DATE,OME_EXIT_DATE,DP_PRIMARY_OPID,DP_PRIMARY_NAME,DP_STATUS,DP_ENTER_DATE,DP_EXIT_DATE,PA_PRIMARY_OPID,PA_PRIMARY_NAME,PA_STATUS,PA_ENTER_DATE,PA_EXIT_DATE,CRM_PRIMARY_OPID,CRM_PRIMARY_NAME,CRM_STATUS,CRM_ENTER_DATE,CRM_EXIT_DATE,OQ_PRIMARY_OPID,OQ_PRIMARY_NAME,OQ_STATUS,OQ_ENTER_DATE,OQ_EXIT_DATE,IM_PRIMARY_OPID,IM_PRIMARY_NAME,IM_STATUS,IM_ENTER_DATE,IM_EXIT_DATE,OPA_PRIMARY_OPID,OPA_PRIMARY_NAME,OPA_STATUS,OPA_ENTER_DATE,OPA_EXIT_DATE
12/15/21,Operator Validation,11/29/12,81,ACTIVE,"AGUILAR, TOWN OF",Gas Distribution,81,"AGUILAR, TOWN OF",Current,4/20/95,,81,"AGUILAR, TOWN OF",Current,4/20/95,,81,"AGUILAR, TOWN OF",Current,4/20/95,,81,"AGUILAR, TOWN OF",Current,4/20/95,,81,"AGUILAR, TOWN OF",Current,4/20/95,,81,"AGUILAR, TOWN OF",Current,4/20/95,,81,"AGUILAR, TOWN OF",Current,4/20/95,,,,,,
12/15/21,Operator Validation,11/29/12,81,ACTIVE,"AGUILAR, TOWN OF",Gas Transmission,81,"AGUILAR, TOWN OF",Current,4/20/95,,81,"AGUILAR, TOWN OF",Current,4/20/95,,81,"AGUILAR, TOWN OF",Current,4/20/95,,81,"AGUILAR, TOWN OF",Current,4/20/95,,81,"AGUILAR, TOWN OF",Current,4/20/95,,81,"AGUILAR, TOWN OF",Current,4/20/95,,81,"AGUILAR, TOWN OF",Current,4/20/95,,,,,,
12/15/21,Operator Validation,2/1/13,117,ACTIVE,AIR PRODUCTS & CHEMICALS INC,Gas Transmission,117,AIR PRODUCTS & CHEMICALS INC,Current,4/20/95,,117,AIR PRODUCTS & CHEMICALS INC,Current,4/20/95,,117,AIR PRODUCTS & CHEMICALS INC,Current,4/20/95,,117,AIR PRODUCTS & CHEMICALS INC,Current,4/20/95,,117,AIR PRODUCTS & CHEMICALS INC,Current,4/20/95,,117,AIR PRODUCTS & CHEMICALS INC,Current,4/20/95,,117,AIR PRODUCTS & CHEMICALS INC,Current,4/20/95,,,,,,
12/15/21,Type C Notification,7/16/21,117,ACTIVE,AIR PRODUCTS & CHEMICALS INC,Hazardous Liquid,117,AIR PRODUCTS & CHEMICALS INC,Current,11/6/19,,117,AIR PRODUCTS & CHEMICALS INC,Current,11/6/19,,117,AIR PRODUCTS & CHEMICALS INC,Current,11/6/19,,117,AIR PRODUCTS & CHEMICALS INC,Current,11/6/19,,117,AIR PRODUCTS & CHEMICALS INC,Current,11/6/19,,117,AIR PRODUCTS & CHEMICALS INC,Current,11/6/19,,117,AIR PRODUCTS & CHEMICALS INC,Current,11/6/19,,,,,,
12/15/21,Operator Validation,12/23/12,144,INACTIVE,AJAX PIPELINE CO,Gas Distribution,144,AJAX PIPELINE CO,Current,4/20/95,,144,AJAX PIPELINE CO,Current,4/20/95,,144,AJAX PIPELINE CO,Current,4/20/95,,144,AJAX PIPELINE CO,Current,4/20/95,,144,AJAX PIPELINE CO,Current,4/20/95,,144,AJAX PIPELINE CO,Current,4/20/95,,144,AJAX PIPELINE CO,Current,4/20/95,,,,,,
12/15/21,Operator Validation,12/23/12,144,INACTIVE,AJAX PIPELINE CO,Gas Gathering,144,AJAX PIPELINE CO,Current,4/20/95,,144,AJAX PIPELINE CO,Current,4/20/95,,144,AJAX PIPELINE CO,Current,4/20/95,,144,AJAX PIPELINE CO,Current,4/20/95,,144,AJAX PIPELINE CO,Current,4/20/95,,144,AJAX PIPELINE CO,Current,4/20/95,,,,,,,,,,,
12/15/21,Operator Validation,9/28/12,180,ACTIVE,SPIRE ALABAMA INC.,Gas Distribution,180,ALABAMA GAS CORPORATION,Current,5/24/95,,180,ALABAMA GAS CORPORATION,Current,5/24/95,,180,ALABAMA GAS CORPORATION,Current,5/24/95,,180,ALABAMA GAS CORPORATION,Current,5/24/95,,180,ALABAMA GAS CORPORATION,Current,5/24/95,,180,ALABAMA GAS CORPORATION,Current,5/24/95,,180,ALABAMA GAS CORPORATION,Current,5/24/95,,,,,,
12/15/21,Operator Validation,9/28/12,180,ACTIVE,SPIRE ALABAMA INC.,Gas Transmission,180,ALABAMA GAS CORPORATION,Current,5/24/95,,180,ALABAMA GAS CORPORATION,Current,5/24/95,,180,ALABAMA GAS CORPORATION,Current,5/24/95,,180,ALABAMA GAS CORPORATION,Current,5/24/95,,180,ALABAMA GAS CORPORATION,Current,5/24/95,,180,ALABAMA GAS CORPORATION,Current,5/24/95,,180,ALABAMA GAS CORPORATION,Current,5/24/95,,,,,,
12/15/21,Operator Validation,9/28/12,180,ACTIVE,SPIRE ALABAMA INC.,LNG Plant/Facility,180,ALABAMA GAS CORPORATION,Current,5/24/95,,180,ALABAMA GAS CORPORATION,Current,5/24/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/21,Operator Validation,9/7/12,189,ACTIVE,"BBT ALATENN, LLC",Gas Transmission,189,American Midstream,Current,4/20/95,,189,American Midstream,Current,4/20/95,,189,American Midstream,Current,4/20/95,,189,American Midstream,Current,4/20/95,,189,American Midstream,Current,4/20/95,,189,American Midstream,Current,4/20/95,,189,American Midstream,Current,4/20/95,,,,,,
12/15/21,Type C Notification,6/1/17,207,ACTIVE,ALASKA PIPELINE CO,Gas Distribution,4483,Enstar Natural Gas,Current,6/6/14,,4483,Enstar Natural Gas,Current,6/6/14,,4483,Enstar Natural Gas,Current,6/6/14,,4483,Enstar Natural Gas,Current,6/6/14,,4483,Enstar Natural Gas,Current,6/6/14,,4483,Enstar Natural Gas,Current,6/6/14,,4483,Enstar Natural Gas,Current,6/6/14,,,,,,
12/15/21,Operator Validation,10/8/12,207,ACTIVE,ALASKA PIPELINE CO,Gas Transmission,4483,Enstar Natural Gas,Current,5/3/95,,4483,Enstar Natural Gas,Current,5/3/95,,4483,Enstar Natural Gas,Current,5/3/95,,4483,Enstar Natural Gas,Current,5/3/95,,4483,Enstar Natural Gas,Current,5/3/95,,4483,Enstar Natural Gas,Current,5/3/95,,207,Alaska Pipeline,Current,5/3/95,,,,,,
12/15/21,Operator Validation,12/5/12,225,ACTIVE,ALBANY MUNICIPAL GAS CO,Gas Distribution,225,ALBANY MUNICIPAL GAS CO,Current,5/24/95,,225,ALBANY MUNICIPAL GAS CO,Current,5/24/95,,225,ALBANY MUNICIPAL GAS CO,Current,5/24/95,,225,ALBANY MUNICIPAL GAS CO,Current,5/24/95,,225,ALBANY MUNICIPAL GAS CO,Current,5/24/95,,225,ALBANY MUNICIPAL GAS CO,Current,5/24/95,,225,ALBANY MUNICIPAL GAS CO,Current,5/24/95,,,,,,
12/15/21,Operator Validation,12/3/12,234,ACTIVE,ALBANY WATER GAS & LIGHT COMMISSION,Gas Distribution,234,ALBANY WATER GAS & LIGHT COMMISSION,Current,6/4/87,,234,ALBANY WATER GAS & LIGHT COMMISSION,Current,6/4/87,,234,ALBANY WATER GAS & LIGHT COMMISSION,Current,6/4/87,,234,ALBANY WATER GAS & LIGHT COMMISSION,Current,6/4/87,,234,ALBANY WATER GAS & LIGHT COMMISSION,Current,6/4/87,,234,ALBANY WATER GAS & LIGHT COMMISSION,Current,6/4/87,,234,ALBANY WATER GAS & LIGHT COMMISSION,Current,6/4/87,,,,,,
12/15/21,Operator Validation,7/5/12,252,ACTIVE,"ALEDO GAS DEPT, CITY OF",Gas Distribution,252,"ALEDO GAS DEPT, CITY OF",Current,4/20/95,,252,"ALEDO GAS DEPT, CITY OF",Current,4/20/95,,252,"ALEDO GAS DEPT, CITY OF",Current,4/20/95,,252,"ALEDO GAS DEPT, CITY OF",Current,4/20/95,,252,"ALEDO GAS DEPT, CITY OF",Current,4/20/95,,252,"ALEDO GAS DEPT, CITY OF",Current,4/20/95,,252,"ALEDO GAS DEPT, CITY OF",Current,4/20/95,,,,,,
12/15/21,Operator Validation,12/3/12,261,ACTIVE,ALEXANDER CITY MUNICIPAL GAS,Gas Distribution,261,ALEXANDER CITY MUNICIPAL GAS,Current,4/20/95,,261,ALEXANDER CITY MUNICIPAL GAS,Current,4/20/95,,261,ALEXANDER CITY MUNICIPAL GAS,Current,4/20/95,,261,ALEXANDER CITY MUNICIPAL GAS,Current,4/20/95,,261,ALEXANDER CITY MUNICIPAL GAS,Current,4/20/95,,261,ALEXANDER CITY MUNICIPAL GAS,Current,4/20/95,,261,ALEXANDER CITY MUNICIPAL GAS,Current,4/20/95,,,,,,
12/15/21,Operator Validation,11/30/12,270,ACTIVE,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Gas Distribution,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Current,5/24/95,,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Current,5/24/95,,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Current,5/24/95,,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Current,5/24/95,,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Current,5/24/95,,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Current,5/24/95,,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Current,5/24/95,,,,,,
12/15/21,Type C Notification,1/29/19,288,ACTIVE,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Gas Transmission,11169,Enbridge,Current,1/14/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/21,Type C Notification,2/1/18,288,ACTIVE,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Gas Transmission,,,,,,,,,,,,,,,,11169,Enbridge,Current,1/2/18,,,,,,,,,,,,,,,,,,,,,
12/15/21,Operator Validation,5/1/12,288,ACTIVE,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Gas Transmission,19235,ENBRIDGE,Superseded,5/3/95,1/14/19,19235,ENBRIDGE,Current,5/3/95,,19235,ENBRIDGE,Current,5/3/95,,19235,ENBRIDGE,Superseded,5/3/95,1/2/18,19235,ENBRIDGE,Current,5/3/95,,19235,ENBRIDGE,Current,5/3/95,,19235,ENBRIDGE,Current,5/3/95,,,,,,
12/15/21,Operator Validation,8/16/12,300,ACTIVE,"PLAINS PIPELINE, L.P.",Hazardous Liquid,300,Plains,Current,8/9/88,,300,Plains,Current,8/9/88,,300,Plains,Current,8/9/88,,300,Plains,Current,8/9/88,,300,Plains,Current,8/9/88,,300,Plains,Current,8/9/88,,300,Plains,Current,8/9/88,,300,Plains,Current,8/9/88,
12/15/21,Operator Validation,9/17/12,315,ACTIVE,ALLERTON GAS CO,Gas Distribution,315,ALLERTON GAS CO,Current,5/24/95,,315,ALLERTON GAS CO,Current,5/24/95,,315,ALLERTON GAS CO,Current,5/24/95,,315,ALLERTON GAS CO,Current,5/24/95,,315,ALLERTON GAS CO,Current,5/24/95,,315,ALLERTON GAS CO,Current,5/24/95,,315,ALLERTON GAS CO,Current,5/24/95,,,,,,
12/15/21,Operator Validation,11/5/12,333,ACTIVE,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF",Gas Distribution,333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF",Current,6/6/95,,333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF",Current,6/6/95,,333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF",Current,6/6/95,,333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF",Current,6/6/95,,333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF",Current,6/6/95,,333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF",Current,6/6/95,,333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF",Current,6/6/95,,,,,,
12/15/21,Operator Validation,12/7/12,342,ACTIVE,"ALMA NATURAL  GAS SYSTEMS, CITY OF",Gas Distribution,342,"ALMA NATURAL GAS SYSTEMS, CITY OF",Current,5/24/95,,342,"ALMA NATURAL GAS SYSTEMS, CITY OF",Current,5/24/95,,342,"ALMA NATURAL GAS SYSTEMS, CITY OF",Current,5/24/95,,342,"ALMA NATURAL GAS SYSTEMS, CITY OF",Current,5/24/95,,342,"ALMA NATURAL GAS SYSTEMS, CITY OF",Current,5/24/95,,342,"ALMA NATURAL GAS SYSTEMS, CITY OF",Current,5/24/95,,342,"ALMA NATURAL GAS SYSTEMS, CITY OF",Current,5/24/95,,,,,,
12/15/21,Operator Validation,11/6/12,360,ACTIVE,"ALTAMONT GAS DEPT, CITY OF",Gas Distribution,360,"ALTAMONT GAS DEPT, CITY OF",Current,4/20/95,,360,"ALTAMONT GAS DEPT, CITY OF",Current,4/20/95,,360,"ALTAMONT GAS DEPT, CITY OF",Current,4/20/95,,360,"ALTAMONT GAS DEPT, CITY OF",Current,4/20/95,,360,"ALTAMONT GAS DEPT, CITY OF",Current,4/20/95,,360,"ALTAMONT GAS DEPT, CITY OF",Current,4/20/95,,360,"ALTAMONT GAS DEPT, CITY OF",Current,4/20/95,,,,,,
12/15/21,Operator Validation,4/9/13,383,ACTIVE,AMARILLO NATURAL GAS INC,Gas Distribution,383,AMARILLO NATURAL GAS INC,Current,4/20/95,,383,AMARILLO NATURAL GAS INC,Current,4/20/95,,383,AMARILLO NATURAL GAS INC,Current,4/20/95,,383,AMARILLO NATURAL GAS INC,Current,4/20/95,,383,AMARILLO NATURAL GAS INC,Current,4/20/95,,383,AMARILLO NATURAL GAS INC,Current,4/20/95,,383,AMARILLO NATURAL GAS INC,Current,4/20/95,,,,,,
12/15/21,Operator Validation,4/9/13,383,ACTIVE,AMARILLO NATURAL GAS INC,Gas Transmission,383,AMARILLO NATURAL GAS INC,Current,4/20/95,,383,AMARILLO NATURAL GAS INC,Current,4/20/95,,383,AMARILLO NATURAL GAS INC,Current,4/20/95,,383,AMARILLO NATURAL GAS INC,Current,4/20/95,,383,AMARILLO NATURAL GAS INC,Current,4/20/95,,383,AMARILLO NATURAL GAS INC,Current,4/20/95,,383,AMARILLO NATURAL GAS INC,Current,4/20/95,,,,,,
12/15/21,Operator Validation,9/10/12,386,INACTIVE,HESS CORP,Gas Transmission,401,HESS CORPORATION,Current,4/20/95,,401,HESS CORPORATION,Current,4/20/95,,401,HESS CORPORATION,Current,4/20/95,,401,HESS CORPORATION,Current,4/20/95,,401,HESS CORPORATION,Current,4/20/95,,401,HESS CORPORATION,Current,4/20/95,,401,HESS CORPORATION,Current,4/20/95,,,,,,
12/15/21,Operator Validation,12/3/12,387,ACTIVE,"ALTO NATURAL GAS CO, CITY OF",Gas Distribution,387,"ALTO NATURAL GAS CO, CITY OF",Current,4/20/95,,387,"ALTO NATURAL GAS CO, CITY OF",Current,4/20/95,,387,"ALTO NATURAL GAS CO, CITY OF",Current,4/20/95,,387,"ALTO NATURAL GAS CO, CITY OF",Current,4/20/95,,387,"ALTO NATURAL GAS CO, CITY OF",Current,4/20/95,,387,"ALTO NATURAL GAS CO, CITY OF",Current,4/20/95,,387,"ALTO NATURAL GAS CO, CITY OF",Current,4/20/95,,,,,,
12/15/21,Type C Notification,4/27/20,395,ACTIVE,AMOCO OIL CO,Hazardous Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31189,BP Lower 48,Current,9/6/18,
12/15/21,Operator Validation,6/21/12,395,ACTIVE,AMOCO OIL CO,Hazardous Liquid,31189,BP Lower 48,Current,9/14/89,,31189,BP Lower 48,Current,9/14/89,,31189,BP Lower 48,Current,9/14/89,,31189,BP Lower 48,Current,9/14/89,,31189,BP Lower 48,Current,9/14/89,,31189,BP Lower 48,Current,9/14/89,,31189,BP Lower 48,Current,9/14/89,,395,AMOCO OIL CO,Superseded,9/14/89,9/6/18
12/15/21,Operator Validation,9/12/12,401,INACTIVE,HESS CORPORATION,Hazardous Liquid,386,HESS CORP,Current,5/3/95,,386,HESS CORP,Current,5/3/95,,386,HESS CORP,Current,5/3/95,,386,HESS CORP,Current,5/3/95,,386,HESS CORP,Current,5/3/95,,386,HESS CORP,Current,5/3/95,,386,HESS CORP,Current,5/3/95,,386,HESS CORP,Current,5/3/95,
12/15/21,Operator Validation,9/27/12,402,ACTIVE,"MARKWEST ENERGY EAST TEXAS GAS COMPANY, L.L.C.",Gas Gathering,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,,,,,,,,,,
12/15/21,Operator Validation,9/27/12,402,ACTIVE,"MARKWEST ENERGY EAST TEXAS GAS COMPANY, L.L.C.",Gas Transmission,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,,,,,
12/15/21,Operator Validation,9/27/12,402,ACTIVE,"MARKWEST ENERGY EAST TEXAS GAS COMPANY, L.L.C.",Hazardous Liquid,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",Current,5/3/95,
12/15/21,Operator Validation,4/16/12,405,ACTIVE,ANR PIPELINE CO,Gas Transmission,405,TransCanada,Current,5/3/95,,405,TransCanada,Current,5/3/95,,405,TransCanada,Current,5/3/95,,405,TransCanada,Current,5/3/95,,405,TransCanada,Current,5/3/95,,405,TransCanada,Current,5/3/95,,405,TransCanada,Current,5/3/95,,,,,,
12/15/21,Type C Notification,11/13/19,405,ACTIVE,ANR PIPELINE CO,UNGS,405,TransCanada,Current,1/18/17,,405,TransCanada,Current,1/18/17,,,,,,,,,,,,,,,,,,,,,,405,TransCanada,Current,1/18/17,,,,,,
12/15/21,Operator Validation,4/30/12,414,INACTIVE,"HAINES GAS COMPANY, INC.",Gas Distribution,414,"HAINES GAS COMPANY, INC.",Current,5/24/95,,414,"HAINES GAS COMPANY, INC.",Current,5/24/95,,414,"HAINES GAS COMPANY, INC.",Current,5/24/95,,414,"HAINES GAS COMPANY, INC.",Current,5/24/95,,414,"HAINES GAS COMPANY, INC.",Current,5/24/95,,414,"HAINES GAS COMPANY, INC.",Current,5/24/95,,414,"HAINES GAS COMPANY, INC.",Current,5/24/95,,,,,,
12/15/21,Operator Validation,12/10/12,423,ACTIVE,AMERICUS UTILITY COMMISSION,Gas Distribution,423,AMERICUS UTILITY COMMISSION,Current,4/20/95,,423,AMERICUS UTILITY COMMISSION,Current,4/20/95,,423,AMERICUS UTILITY COMMISSION,Current,4/20/95,,423,AMERICUS UTILITY COMMISSION,Current,4/20/95,,423,AMERICUS UTILITY COMMISSION,Current,4/20/95,,423,AMERICUS UTILITY COMMISSION,Current,4/20/95,,423,AMERICUS UTILITY COMMISSION,Current,4/20/95,,,,,,
12/15/21,Operator Validation,1/31/13,473,ACTIVE,"WESTERN MIDSTREAM PARTNERS, LP",Gas Distribution,473,ANADARKO PETROLEUM CORP,Current,4/20/95,,473,ANADARKO PETROLEUM CORP,Current,4/20/95,,473,ANADARKO PETROLEUM CORP,Current,4/20/95,,473,ANADARKO PETROLEUM CORP,Current,4/20/95,,473,ANADARKO PETROLEUM CORP,Current,4/20/95,,473,ANADARKO PETROLEUM CORP,Current,4/20/95,,473,ANADARKO PETROLEUM CORP,Current,4/20/95,,,,,,
